ensg	enst	ensp	name
ENSMUSG00000056501	ENSMUST00000070642	ENSMUSP00000069850	Cebpb
ENSMUSG00000055202	ENSMUST00000200914	ENSMUSP00000144038	Zfp811
ENSMUSG00000021055	ENSMUST00000110421	ENSMUSP00000106051	Esr2
ENSMUSG00000025880	ENSMUST00000168918	ENSMUSP00000129322	Smad7
ENSMUSG00000044646	ENSMUST00000058997	ENSMUSP00000057856	Zbtb7c
ENSMUSG00000034998	ENSMUST00000112238	ENSMUSP00000107857	Foxn2
ENSMUSG00000003051	ENSMUST00000003135	ENSMUSP00000003135	Elf3
ENSMUSG00000051510	ENSMUST00000058162	ENSMUSP00000053899	Mafg
ENSMUSG00000041649	ENSMUST00000143880	ENSMUSP00000117653	Klf8
ENSMUSG00000038705	ENSMUST00000049032	ENSMUSP00000037075	Gmeb2
ENSMUSG00000051149	ENSMUST00000057793	ENSMUSP00000056809	Adnp
ENSMUSG00000051413	ENSMUST00000056924	ENSMUSP00000055709	Plagl2
ENSMUSG00000027544	ENSMUST00000029057	ENSMUSP00000029057	Nfatc2
ENSMUSG00000023021	ENSMUST00000109035	ENSMUSP00000104663	Cers5
ENSMUSG00000017724	ENSMUST00000107176	ENSMUSP00000102794	Etv4
ENSMUSG00000063659	ENSMUST00000195002	ENSMUSP00000142124	Zbtb18
ENSMUSG00000026987	ENSMUST00000129124		Baz2b
ENSMUSG00000034227	ENSMUST00000036215	ENSMUSP00000038351	Foxj1
ENSMUSG00000041287	ENSMUST00000047373	ENSMUSP00000048524	Sox15
ENSMUSG00000029238	ENSMUST00000202651	ENSMUSP00000143939	Clock
ENSMUSG00000060284	ENSMUST00000078508	ENSMUSP00000077596	Sp7
ENSMUSG00000035576	ENSMUST00000035751	ENSMUSP00000044038	L3mbtl1
ENSMUSG00000001493	ENSMUST00000057054	ENSMUSP00000051158	Meox1
ENSMUSG00000036036	ENSMUST00000089968	ENSMUSP00000087414	Zfp57
ENSMUSG00000001280	ENSMUST00000170884	ENSMUSP00000129638	Sp1
ENSMUSG00000020052	ENSMUST00000020243	ENSMUSP00000020243	Ascl1
ENSMUSG00000015461	ENSMUST00000015605	ENSMUSP00000015605	Atf6b
ENSMUSG00000050846	ENSMUST00000037260	ENSMUSP00000036049	Zfp623
ENSMUSG00000031885	ENSMUST00000052209	ENSMUSP00000059382	Cbfb
ENSMUSG00000020037	ENSMUST00000060397	ENSMUSP00000051107	Rfx4
ENSMUSG00000027547	ENSMUST00000075044	ENSMUSP00000074556	Sall4
ENSMUSG00000026610	ENSMUST00000127489	ENSMUSP00000119286	Esrrg
ENSMUSG00000017861	ENSMUST00000018005	ENSMUSP00000018005	Mybl2
ENSMUSG00000056459	ENSMUST00000176102	ENSMUSP00000135853	Zbtb25
ENSMUSG00000070643	ENSMUST00000144386	ENSMUSP00000122980	Sox13
ENSMUSG00000025369	ENSMUST00000218228	ENSMUSP00000151333	Smarcc2
ENSMUSG00000033454	ENSMUST00000042779	ENSMUSP00000041955	Zbtb1
ENSMUSG00000074607	ENSMUST00000109428	ENSMUSP00000105055	Tox2
ENSMUSG00000027551	ENSMUST00000109162	ENSMUSP00000104790	Zfp64
ENSMUSG00000047907	ENSMUST00000109159	ENSMUSP00000104787	Tshz2
ENSMUSG00000052056	ENSMUST00000109155	ENSMUSP00000104783	Zfp217
ENSMUSG00000024176	ENSMUST00000025003	ENSMUSP00000025003	Sox8
ENSMUSG00000042063	ENSMUST00000073551	ENSMUSP00000073241	Zfp386
ENSMUSG00000003949	ENSMUST00000004051	ENSMUSP00000004051	Hlf
ENSMUSG00000017950	ENSMUST00000143911	ENSMUSP00000119479	Hnf4a
ENSMUSG00000000282	ENSMUST00000000291	ENSMUSP00000000291	Mnt
ENSMUSG00000022508	ENSMUST00000023151	ENSMUSP00000023151	Bcl6
ENSMUSG00000030189	ENSMUST00000032309	ENSMUSP00000032309	Ybx3
ENSMUSG00000028640	ENSMUST00000030391	ENSMUSP00000030391	Tfap2c
ENSMUSG00000038255	ENSMUST00000041685	ENSMUSP00000041373	Neurod2
ENSMUSG00000062477	ENSMUST00000082150		Hmgb1l
ENSMUSG00000023990	ENSMUST00000086932	ENSMUSP00000084151	Tfeb
ENSMUSG00000004151	ENSMUST00000160244	ENSMUSP00000125733	Etv1
ENSMUSG00000032446	ENSMUST00000111763	ENSMUSP00000107393	Eomes
ENSMUSG00000008398	ENSMUST00000008542	ENSMUSP00000008542	Elk3
ENSMUSG00000022952	ENSMUST00000023673	ENSMUSP00000023673	Runx1
ENSMUSG00000070495	ENSMUST00000094287	ENSMUSP00000091845	Ctcfl
ENSMUSG00000000317	ENSMUST00000000326	ENSMUSP00000000326	Bcl6b
ENSMUSG00000024563	ENSMUST00000168423	ENSMUSP00000130115	Smad2
ENSMUSG00000000567	ENSMUST00000000579	ENSMUSP00000000579	Sox9
ENSMUSG00000017007	ENSMUST00000137427		Rbpjl
ENSMUSG00000026572	ENSMUST00000027859	ENSMUSP00000027859	Tbx19
ENSMUSG00000079215	ENSMUST00000111417	ENSMUSP00000107048	Zfp664
ENSMUSG00000041565	ENSMUST00000150573		L3mbtl4
ENSMUSG00000015579	ENSMUST00000015723	ENSMUSP00000015723	Nkx2-5
ENSMUSG00000029723	ENSMUST00000100540	ENSMUSP00000098108	Tsc22d4
ENSMUSG00000061013	ENSMUST00000079788	ENSMUSP00000078718	Mkx
ENSMUSG00000018750	ENSMUST00000108640	ENSMUSP00000104280	Zbtb4
ENSMUSG00000022510	ENSMUST00000115307	ENSMUSP00000110962	Trp63
ENSMUSG00000040321	ENSMUST00000050668	ENSMUSP00000052194	Zfp770
ENSMUSG00000002057	ENSMUST00000108294	ENSMUSP00000103929	Foxn1
ENSMUSG00000078249	ENSMUST00000105046	ENSMUSP00000100667	Hmga1b
ENSMUSG00000027583	ENSMUST00000029106	ENSMUSP00000029106	Zbtb46
ENSMUSG00000010175	ENSMUST00000175916	ENSMUSP00000135703	Prox1
ENSMUSG00000049672	ENSMUST00000112674	ENSMUSP00000108294	Zbtb14
ENSMUSG00000012350	ENSMUST00000090475	ENSMUSP00000087961	Ehf
ENSMUSG00000068284	ENSMUST00000119746	ENSMUSP00000112620	Usf3
ENSMUSG00000036898	ENSMUST00000085856	ENSMUSP00000083018	Zfp157
ENSMUSG00000000823	ENSMUST00000108789	ENSMUSP00000104417	Zfp512b
ENSMUSG00000027186	ENSMUST00000239273	ENSMUSP00000159212	Elf5
ENSMUSG00000058291	ENSMUST00000110905	ENSMUSP00000106530	Zfp68
ENSMUSG00000025423	ENSMUST00000114777	ENSMUSP00000110425	Pias2
ENSMUSG00000046470	ENSMUST00000054491	ENSMUSP00000062759	Sox18
ENSMUSG00000039834	ENSMUST00000041361	ENSMUSP00000038298	Zfp335
ENSMUSG00000056014	ENSMUST00000200521	ENSMUSP00000143566	A430033K04Rik
ENSMUSG00000018554	ENSMUST00000018698	ENSMUSP00000018698	Ybx2
ENSMUSG00000002578	ENSMUST00000133342	ENSMUSP00000114404	Ikzf4
ENSMUSG00000022809	ENSMUST00000023504	ENSMUSP00000023504	Nr1i2
ENSMUSG00000050600	ENSMUST00000059452	ENSMUSP00000060255	Zfp831
ENSMUSG00000078906	ENSMUST00000109069	ENSMUSP00000104697	Gm14444
ENSMUSG00000078905	ENSMUST00000072895	ENSMUSP00000072668	Gm14393
ENSMUSG00000090093	ENSMUST00000109060	ENSMUSP00000104688	Gm14399
ENSMUSG00000078902	ENSMUST00000127251		Gm14443
ENSMUSG00000078903	ENSMUST00000151240		Gm14391
ENSMUSG00000078899	ENSMUST00000121393	ENSMUSP00000113670	Gm4631
ENSMUSG00000078898	ENSMUST00000131676	ENSMUSP00000116661	Zfp968
ENSMUSG00000078897	ENSMUST00000109045	ENSMUSP00000104673	Gm4724
ENSMUSG00000078896	ENSMUST00000109042	ENSMUSP00000104670	Zfp965
ENSMUSG00000039275	ENSMUST00000106113	ENSMUSP00000101719	Foxk2
ENSMUSG00000078887	ENSMUST00000109011	ENSMUSP00000104639	Gm6710
ENSMUSG00000089756	ENSMUST00000108949	ENSMUSP00000104577	Zfp966
ENSMUSG00000078886	ENSMUST00000109007	ENSMUSP00000104635	Gm2026
ENSMUSG00000010505	ENSMUST00000081125	ENSMUSP00000079900	Myt1
ENSMUSG00000040310	ENSMUST00000042078	ENSMUSP00000047962	Alx4
ENSMUSG00000043099	ENSMUST00000055619	ENSMUSP00000053483	Hic1
ENSMUSG00000078894	ENSMUST00000099009	ENSMUSP00000096607	2210418O10Rik
ENSMUSG00000078881	ENSMUST00000122097	ENSMUSP00000112478	Gm14434
ENSMUSG00000078880	ENSMUST00000126807		Gm14308
ENSMUSG00000078878	ENSMUST00000108981	ENSMUSP00000104609	Gm14305
ENSMUSG00000078879	ENSMUST00000121956	ENSMUSP00000113873	Zfp973
ENSMUSG00000078877	ENSMUST00000118012	ENSMUSP00000113133	Gm14295
ENSMUSG00000078876	ENSMUST00000122218	ENSMUSP00000113743	Gm14408
ENSMUSG00000074527	ENSMUST00000134982	ENSMUSP00000115243	Gm14296
ENSMUSG00000078875	ENSMUST00000126358	ENSMUSP00000118666	Gm14419
ENSMUSG00000078872	ENSMUST00000108968	ENSMUSP00000104596	Gm14401
ENSMUSG00000034800	ENSMUST00000110366	ENSMUSP00000105995	Zfp661
ENSMUSG00000078870	ENSMUST00000133301	ENSMUSP00000114668	Gm14410
ENSMUSG00000078869	ENSMUST00000108963	ENSMUSP00000104591	Gm14409
ENSMUSG00000078868	ENSMUST00000108959	ENSMUSP00000104587	Gm14412
ENSMUSG00000078867	ENSMUST00000128657	ENSMUSP00000116617	Gm14418
ENSMUSG00000078866	ENSMUST00000108952	ENSMUSP00000104580	Zfp970
ENSMUSG00000078865	ENSMUST00000108945	ENSMUSP00000104573	Gm14406
ENSMUSG00000078864	ENSMUST00000148388		Gm14322
ENSMUSG00000074521	ENSMUST00000108935	ENSMUSP00000104563	Gm14327
ENSMUSG00000074529	ENSMUST00000108934	ENSMUSP00000104562	Zfp972
ENSMUSG00000026630	ENSMUST00000194833		Batf3
ENSMUSG00000078862	ENSMUST00000108932	ENSMUSP00000104560	Gm14326
ENSMUSG00000074519	ENSMUST00000108925	ENSMUSP00000104553	Zfp971
ENSMUSG00000078861	ENSMUST00000108924	ENSMUSP00000104552	Zfp931
ENSMUSG00000047407	ENSMUST00000059775	ENSMUSP00000060512	Tgif1
ENSMUSG00000026628	ENSMUST00000027941	ENSMUSP00000027941	Atf3
ENSMUSG00000020232	ENSMUST00000105323	ENSMUSP00000100960	Hmg20b
ENSMUSG00000035033	ENSMUST00000048934	ENSMUSP00000046787	Tbr1
ENSMUSG00000029478	ENSMUST00000125053	ENSMUSP00000117098	Ncor2
ENSMUSG00000033713	ENSMUST00000046859	ENSMUSP00000036035	Foxn3
ENSMUSG00000026380	ENSMUST00000190652		Tfcp2l1
ENSMUSG00000048402	ENSMUST00000062483	ENSMUSP00000054837	Gli2
ENSMUSG00000035041	ENSMUST00000117422	ENSMUSP00000112836	Creb3l3
ENSMUSG00000015627	ENSMUST00000015771	ENSMUSP00000015771	Gata5
ENSMUSG00000038932	ENSMUST00000037877	ENSMUSP00000040611	Tcfl5
ENSMUSG00000045493	ENSMUST00000108878	ENSMUSP00000104506	Bhlhe23
ENSMUSG00000079808	ENSMUST00000115924	ENSMUSP00000111587	AC168977.1
ENSMUSG00000069475	ENSMUST00000092094	ENSMUSP00000089726	Gm6020
ENSMUSG00000074735	ENSMUST00000063463	ENSMUSP00000075719	Gm21994
ENSMUSG00000067929	ENSMUST00000072133	ENSMUSP00000072002	Gm10226
ENSMUSG00000074837	ENSMUST00000099418	ENSMUSP00000097015	Gm10770
ENSMUSG00000063905	ENSMUST00000081471	ENSMUSP00000080191	Gm10139
ENSMUSG00000056216	ENSMUST00000130491	ENSMUSP00000118588	Cebpg
ENSMUSG00000026735	ENSMUST00000028068	ENSMUSP00000028068	Ptf1a
ENSMUSG00000019789	ENSMUST00000019924	ENSMUSP00000019924	Hey2
ENSMUSG00000075595	ENSMUST00000107717	ENSMUSP00000103345	Zfp652
ENSMUSG00000056758	ENSMUST00000072777	ENSMUSP00000072556	Hmga2
ENSMUSG00000043668	ENSMUST00000109621	ENSMUSP00000105250	Tox3
ENSMUSG00000032727	ENSMUST00000231273	ENSMUSP00000155930	Mier3
ENSMUSG00000000094	ENSMUST00000108047	ENSMUSP00000103682	Tbx4
ENSMUSG00000042903	ENSMUST00000062000	ENSMUSP00000059420	Foxo4
ENSMUSG00000028101	ENSMUST00000107076	ENSMUSP00000102691	Pias3
ENSMUSG00000054360	ENSMUST00000067375	ENSMUSP00000068057	Bsx
ENSMUSG00000068154	ENSMUST00000089257	ENSMUSP00000092048	Insm1
ENSMUSG00000015619	ENSMUST00000102976	ENSMUSP00000100041	Gata3
ENSMUSG00000074865	ENSMUST00000221250	ENSMUSP00000152631	Zfp934
ENSMUSG00000055228	ENSMUST00000076195	ENSMUSP00000075552	Zfp935
ENSMUSG00000000731	ENSMUST00000145975	ENSMUSP00000120150	Aire
ENSMUSG00000075394	ENSMUST00000165375	ENSMUSP00000133561	Hoxc4
ENSMUSG00000027168	ENSMUST00000111086	ENSMUSP00000106715	Pax6
ENSMUSG00000059246	ENSMUST00000071281	ENSMUSP00000096197	Foxb1
ENSMUSG00000066551	ENSMUST00000085546	ENSMUSP00000082682	Hmgb1
ENSMUSG00000033863	ENSMUST00000036884	ENSMUSP00000045639	Klf9
ENSMUSG00000028890	ENSMUST00000106193	ENSMUSP00000101799	Mtf1
ENSMUSG00000032033	ENSMUST00000116615	ENSMUSP00000112314	Barx2
ENSMUSG00000058670	ENSMUST00000081074	ENSMUSP00000079860	4932411N23Rik
ENSMUSG00000048012	ENSMUST00000149011	ENSMUSP00000130689	Zfp473
ENSMUSG00000009741	ENSMUST00000214095	ENSMUSP00000149908	Ubp1
ENSMUSG00000001444	ENSMUST00000001484	ENSMUSP00000001484	Tbx21
ENSMUSG00000022760	ENSMUST00000100125	ENSMUSP00000097701	Thap7
ENSMUSG00000028358	ENSMUST00000030043	ENSMUSP00000030043	Zfp618
ENSMUSG00000037984	ENSMUST00000044767	ENSMUSP00000047016	Neurod6
ENSMUSG00000054191	ENSMUST00000067060	ENSMUSP00000064366	Klf1
ENSMUSG00000018143	ENSMUST00000018287	ENSMUSP00000018287	Mafk
ENSMUSG00000035946	ENSMUST00000040477	ENSMUSP00000036625	Gsx2
ENSMUSG00000046982	ENSMUST00000060303	ENSMUSP00000089388	Tshz1
ENSMUSG00000059436	ENSMUST00000110395	ENSMUSP00000106025	Max
ENSMUSG00000053600	ENSMUST00000039132	ENSMUSP00000036514	Zfp472
ENSMUSG00000033964	ENSMUST00000200243	ENSMUSP00000142797	Zbtb41
ENSMUSG00000015846	ENSMUST00000129514	ENSMUSP00000115165	Rxra
ENSMUSG00000053390	ENSMUST00000129057		Zfp952
ENSMUSG00000067430	ENSMUST00000087654	ENSMUSP00000084936	Zfp763
ENSMUSG00000037188	ENSMUST00000105855	ENSMUSP00000101481	Grhl3
ENSMUSG00000026826	ENSMUST00000028166	ENSMUSP00000028166	Nr4a2
ENSMUSG00000067424	ENSMUST00000131722	ENSMUSP00000118809	Zfp563
ENSMUSG00000067438	ENSMUST00000172923	ENSMUSP00000139840	Hmx1
ENSMUSG00000072889	ENSMUST00000087216	ENSMUSP00000084467	Nfxl1
ENSMUSG00000053552	ENSMUST00000110288	ENSMUSP00000105917	Ebf4
ENSMUSG00000048410	ENSMUST00000125450	ENSMUSP00000138633	Zfp407
ENSMUSG00000000440	ENSMUST00000171644	ENSMUSP00000131962	Pparg
ENSMUSG00000054160	ENSMUST00000067020	ENSMUSP00000066690	Nkx2-4
ENSMUSG00000027434	ENSMUST00000109970	ENSMUSP00000105596	Nkx2-2
ENSMUSG00000029546	ENSMUST00000172997	ENSMUSP00000134067	Uncx
ENSMUSG00000035011	ENSMUST00000125261	ENSMUSP00000114470	Zbtb7a
ENSMUSG00000047171	ENSMUST00000058636	ENSMUSP00000054823	Helt
ENSMUSG00000037034	ENSMUST00000126068	ENSMUSP00000119667	Pax1
ENSMUSG00000023991	ENSMUST00000113265	ENSMUSP00000108890	Foxp4
ENSMUSG00000069378	ENSMUST00000236096	ENSMUSP00000158104	Prdm6
ENSMUSG00000047638	ENSMUST00000058126	ENSMUSP00000053092	Nr1h4
ENSMUSG00000021356	ENSMUST00000021784	ENSMUSP00000021784	Irf4
ENSMUSG00000033837	ENSMUST00000037824	ENSMUSP00000036591	Foxh1
ENSMUSG00000032228	ENSMUST00000183404	ENSMUSP00000139365	Tcf12
ENSMUSG00000037025	ENSMUST00000109964	ENSMUSP00000105590	Foxa2
ENSMUSG00000024406	ENSMUST00000025271	ENSMUSP00000025271	Pou5f1
ENSMUSG00000029729	ENSMUST00000019660	ENSMUSP00000019660	Zkscan1
ENSMUSG00000009248	ENSMUST00000009392	ENSMUSP00000009392	Ascl2
ENSMUSG00000021848	ENSMUST00000226501	ENSMUSP00000154264	Otx2
ENSMUSG00000045518	ENSMUST00000051773	ENSMUSP00000053288	Onecut3
ENSMUSG00000021264	ENSMUST00000021692	ENSMUSP00000021692	Yy1
ENSMUSG00000060257	ENSMUST00000064061	ENSMUSP00000066280	Scrt2
ENSMUSG00000020248	ENSMUST00000130911	ENSMUSP00000122403	Nfyb
ENSMUSG00000042477	ENSMUST00000048194	ENSMUSP00000035902	Tfap2e
ENSMUSG00000026641	ENSMUST00000159207	ENSMUSP00000124000	Usf1
ENSMUSG00000027439	ENSMUST00000028928	ENSMUSP00000028928	Gzf1
ENSMUSG00000055148	ENSMUST00000067912	ENSMUSP00000064823	Klf2
ENSMUSG00000053007	ENSMUST00000205222		Creb5
ENSMUSG00000057093	ENSMUST00000120004	ENSMUSP00000112494	Zfp607b
ENSMUSG00000040929	ENSMUST00000046898	ENSMUSP00000038760	Rfx3
ENSMUSG00000037640	ENSMUST00000108336	ENSMUSP00000103973	Zfp60
ENSMUSG00000068079	ENSMUST00000089112	ENSMUSP00000086511	Tcf15
ENSMUSG00000040732	ENSMUST00000233881	ENSMUSP00000156669	Erg
ENSMUSG00000003929	ENSMUST00000054072	ENSMUSP00000050728	Zfp81
ENSMUSG00000055240	ENSMUST00000173151		Zfp101
ENSMUSG00000047036	ENSMUST00000214626	ENSMUSP00000148942	Zfp445
ENSMUSG00000030604	ENSMUST00000205671	ENSMUSP00000146286	Zfp626
ENSMUSG00000078779	ENSMUST00000205701	ENSMUSP00000145671	Zfp59
ENSMUSG00000020420	ENSMUST00000205715	ENSMUSP00000146006	Zfp607a
ENSMUSG00000018654	ENSMUST00000126058	ENSMUSP00000119960	Ikzf1
ENSMUSG00000038539	ENSMUST00000047356	ENSMUSP00000047771	Atf5
ENSMUSG00000048001	ENSMUST00000049621	ENSMUSP00000051118	Hes5
ENSMUSG00000070709	ENSMUST00000098639	ENSMUSP00000096238	Zfp974
