ensg	ensp	name	enst
ENSG00000149930	ENSP00000310094	TAOK2	ENST00000308893
ENSG00000169679	ENSP00000386701	BUB1	ENST00000409311
ENSG00000142186	ENSP00000270176	SCYL1	ENST00000270176
ENSG00000102572	ENSP00000365737	STK24	ENST00000376554
ENSG00000205111	ENSP00000389833	CDKL4	ENST00000451199
ENSG00000173137		ADCK5	ENST00000534714
ENSG00000198909	ENSP00000461988	MAP3K3	ENST00000579585
ENSG00000260533		NRBP2	ENST00000569525
ENSG00000154229	ENSP00000462087	PRKCA	ENST00000578063
ENSG00000112079	ENSP00000229812	STK38	ENST00000229812
ENSG00000120539	ENSP00000365113	MASTL	ENST00000375946
ENSG00000197122		SRC	ENST00000497734
ENSG00000114738		MAPKAPK3	ENST00000486712
ENSG00000171435	ENSP00000339952	KSR2	ENST00000339824
ENSG00000010219	ENSP00000437534	DYRK4	ENST00000542744
ENSG00000108984	ENSP00000468348	MAP2K6	ENST00000590474
ENSG00000011566	ENSP00000263881	MAP4K3	ENST00000263881
ENSG00000197168		NEK5	ENST00000529080
ENSG00000006062		MAP3K14	ENST00000587332
ENSG00000139908		TSSK4	ENST00000554420
ENSG00000106799	ENSP00000449934	TGFBR1	ENST00000547314
ENSG00000141068	ENSP00000463204	KSR1	ENST00000580163
ENSG00000153208	ENSP00000295408	MERTK	ENST00000295408
ENSG00000130726	ENSP00000472586	TRIM28	ENST00000593582
ENSG00000136098	ENSP00000448782	NEK3	ENST00000258597
ENSG00000168067	ENSP00000400594	MAP4K2	ENST00000435926
ENSG00000163558	ENSP00000295797	PRKCI	ENST00000295797
ENSG00000115085	ENSP00000264972	ZAP70	ENST00000264972
ENSG00000172939		OXSR1	ENST00000492714
ENSG00000105639		JAK3	ENST00000527031
ENSG00000065613	ENSP00000336824	SLK	ENST00000335753
ENSG00000077782	ENSP00000380280	FGFR1	ENST00000397091
ENSG00000072133	ENSP00000262752	RPS6KA6	ENST00000262752
ENSG00000160602	ENSP00000467335	NEK8	ENST00000579671
ENSG00000165752	ENSP00000432415	STK32C	ENST00000462160
ENSG00000178093	ENSP00000466056	TSSK6	ENST00000587522
ENSG00000158828	ENSP00000364204	PINK1	ENST00000321556
ENSG00000123143	ENSP00000467422	PKN1	ENST00000585619
ENSG00000263528		IKBKE	ENST00000605818
ENSG00000164885	ENSP00000419782	CDK5	ENST00000485972
ENSG00000065243	ENSP00000317851	PKN2	ENST00000316005
ENSG00000132356	ENSP00000380317	PRKAA1	ENST00000397128
ENSG00000067606	ENSP00000367830	PRKCZ	ENST00000378567
ENSG00000180370	ENSP00000314067	PAK2	ENST00000327134
ENSG00000139625		MAP3K12	ENST00000547020
ENSG00000004799	ENSP00000005178	PDK4	ENST00000005178
ENSG00000105397	ENSP00000434831	TYK2	ENST00000525976
ENSG00000073803	ENSP00000392223	MAP3K13	ENST00000448876
ENSG00000108443	ENSP00000468058	RPS6KB1	ENST00000472940
ENSG00000152495	ENSP00000426940	CAMK4	ENST00000508074
ENSG00000100077	ENSP00000317578	ADRBK2	ENST00000324198
ENSG00000070770		CSNK2A2	ENST00000566813
ENSG00000135090	ENSP00000416374	TAOK3	ENST00000419821
ENSG00000063761	ENSP00000238561	ADCK1	ENST00000238561
ENSG00000085511	ENSP00000355886	MAP3K4	ENST00000366919
ENSG00000114124	ENSP00000264952	GRK7	ENST00000264952
ENSG00000160469	ENSP00000468190	BRSK1	ENST00000590333
ENSG00000090376	ENSP00000261233	IRAK3	ENST00000261233
ENSG00000157540		DYRK1A	ENST00000462274
ENSG00000146216	ENSP00000259750	TTBK1	ENST00000259750
ENSG00000124784	ENSP00000369162	RIOK1	ENST00000379834
ENSG00000138696	ENSP00000426617	BMPR1B	ENST00000515059
ENSG00000122779	ENSP00000340507	TRIM24	ENST00000343526
ENSG00000135446	ENSP00000257904	CDK4	ENST00000257904
ENSG00000160447	ENSP00000291906	PKN3	ENST00000291906
ENSG00000118046		STK11	ENST00000585748
ENSG00000152332	ENSP00000420270	UHMK1	ENST00000489294
ENSG00000162733	ENSP00000400309	DDR2	ENST00000446985
ENSG00000147613	ENSP00000276616	PSKH2	ENST00000276616
ENSG00000006432	ENSP00000451612	MAP3K9	ENST00000554752
ENSG00000123815	ENSP00000315118	ADCK4	ENST00000324464
ENSG00000073331		ALPK1	ENST00000514594
ENSG00000154310	ENSP00000399511	TNIK	ENST00000436636
ENSG00000177169	ENSP00000324560	ULK1	ENST00000321867
ENSG00000104814		MAP4K1	ENST00000593196
ENSG00000101213	ENSP00000217185	PTK6	ENST00000217185
ENSG00000230678		BRD2	ENST00000469015
ENSG00000097046	ENSP00000234626	CDC7	ENST00000234626
ENSG00000262841	ENSP00000460832	CDK7	ENST00000571061
ENSG00000105146	ENSP00000407162	AURKC	ENST00000415300
ENSG00000044524	ENSP00000337451	EPHA3	ENST00000336596
ENSG00000152137	ENSP00000281938	HSPB8	ENST00000281938
ENSG00000055332	ENSP00000233057	EIF2AK2	ENST00000233057
ENSG00000137948	ENSP00000354568	BRDT	ENST00000362005
ENSG00000164896		FASTK	ENST00000489884
ENSG00000138669	ENSP00000378945	PRKG2	ENST00000395578
ENSG00000130413		STK33	ENST00000473980
ENSG00000135341	ENSP00000358331	MAP3K7	ENST00000369325
ENSG00000162302	ENSP00000435580	RPS6KA4	ENST00000528057
ENSG00000106123	ENSP00000410789	EPHB6	ENST00000442129
ENSG00000071054	ENSP00000403016	MAP4K4	ENST00000427603
ENSG00000180815		MAP3K15	ENST00000518578
ENSG00000070886	ENSP00000363775	EPHA8	ENST00000374644
ENSG00000154237	ENSP00000373600	LRRK1	ENST00000388948
ENSG00000125508	ENSP00000217188	SRMS	ENST00000217188
ENSG00000133216	ENSP00000363761	EPHB2	ENST00000374630
ENSG00000131023	ENSP00000437550	LATS1	ENST00000543571
ENSG00000089022	ENSP00000449667	MAPKAPK5	ENST00000550735
ENSG00000122966	ENSP00000376306	CIT	ENST00000392521
ENSG00000101255	ENSP00000217233	TRIB3	ENST00000217233
ENSG00000171219	ENSP00000345133	CDC42BPG	ENST00000342711
ENSG00000105810	ENSP00000265734	CDK6	ENST00000265734
ENSG00000226033		STK19	ENST00000496606
ENSG00000104936	ENSP00000291270	DMPK	ENST00000291270
ENSG00000101049	ENSP00000362192	SGK2	ENST00000373100
ENSG00000113712	ENSP00000261798	CSNK1A1	ENST00000261798
ENSG00000234947		STK19	ENST00000459769
ENSG00000101266	ENSP00000339247	CSNK2A1	ENST00000349736
ENSG00000136573	ENSP00000259089	BLK	ENST00000259089
ENSG00000135333	ENSP00000358309	EPHA7	ENST00000369303
ENSG00000083290		ULK2	ENST00000570983
ENSG00000082701	ENSP00000264235	GSK3B	ENST00000264235
ENSG00000105287	ENSP00000469106	PRKD2	ENST00000601806
ENSG00000211455	ENSP00000437856	STK38L	ENST00000541191
ENSG00000169925	ENSP00000305918	BRD3	ENST00000303407
ENSG00000173327	ENSP00000309597	MAP3K11	ENST00000309100
ENSG00000115687	ENSP00000234040	PASK	ENST00000234040
ENSG00000213341	ENSP00000359424	CHUK	ENST00000370397
ENSG00000165025	ENSP00000364907	SYK	ENST00000375754
ENSG00000180138	ENSP00000369126	CSNK1A1L	ENST00000379800
ENSG00000169967	ENSP00000387246	MAP3K2	ENST00000409947
ENSG00000234078		DDR1	ENST00000490403
ENSG00000129465	ENSP00000216274	RIPK3	ENST00000216274
ENSG00000070019	ENSP00000261170	GUCY2C	ENST00000261170
ENSG00000127334	ENSP00000440839	DYRK2	ENST00000543747
ENSG00000177602	ENSP00000325290	GSG2	ENST00000325418
ENSG00000099308	ENSP00000262811	MAST3	ENST00000262811
ENSG00000133275	ENSP00000255641	CSNK1G2	ENST00000255641
ENSG00000173020	ENSP00000312262	ADRBK1	ENST00000308595
ENSG00000171132	ENSP00000394574	PRKCE	ENST00000421201
ENSG00000000457	ENSP00000356744	SCYL3	ENST00000367770
ENSG00000114739	ENSP00000340361	ACVR2B	ENST00000352511
ENSG00000163513	ENSP00000295754	TGFBR2	ENST00000295754
ENSG00000123374	ENSP00000266970	CDK2	ENST00000266970
ENSG00000105976	ENSP00000413857	MET	ENST00000456159
ENSG00000137193	ENSP00000362608	PIM1	ENST00000373509
ENSG00000183765	ENSP00000416721	CHEK2	ENST00000434810
ENSG00000177189	ENSP00000368884	RPS6KA3	ENST00000379565
ENSG00000169071	ENSP00000364867	ROR2	ENST00000375715
ENSG00000136383	ENSP00000258888	ALPK3	ENST00000258888
ENSG00000215077	ENSP00000382445	BRD2	ENST00000399529
ENSG00000107643	ENSP00000387936	MAPK8	ENST00000432379
ENSG00000101109	ENSP00000361892	STK4	ENST00000372806
ENSG00000102010	ENSP00000350224	BMX	ENST00000357607
ENSG00000115694	ENSP00000325748	STK25	ENST00000316586
ENSG00000038382		TRIO	ENST00000505971
ENSG00000104312	ENSP00000220751	RIPK2	ENST00000220751
ENSG00000164715	ENSP00000297293	LMTK2	ENST00000297293
ENSG00000235307		BRD2	ENST00000471151
ENSG00000140443	ENSP00000268035	IGF1R	ENST00000268035
ENSG00000074966	ENSP00000264316	TXK	ENST00000264316
ENSG00000142208	ENSP00000451828	AKT1	ENST00000554581
ENSG00000157106	ENSP00000402515	SMG1	ENST00000446231
ENSG00000099875	ENSP00000465645	MKNK2	ENST00000591142
ENSG00000132964	ENSP00000370938	CDK8	ENST00000381527
ENSG00000182578	ENSP00000422212	CSF1R	ENST00000504875
ENSG00000004660	ENSP00000371188	CAMKK1	ENST00000381769
ENSG00000137332		DDR1	ENST00000491012
ENSG00000074590	ENSP00000261402	NUAK1	ENST00000261402
ENSG00000064393	ENSP00000385571	HIPK2	ENST00000406875
ENSG00000159899	ENSP00000341083	NPR2	ENST00000342694
ENSG00000175087	ENSP00000406510	PDIK1L	ENST00000444713
ENSG00000163788	ENSP00000401246	SNRK	ENST00000454177
ENSG00000175054	ENSP00000422553	ATR	ENST00000504521
ENSG00000135605	ENSP00000370912	TEC	ENST00000381501
ENSG00000050748	ENSP00000394560	MAPK9	ENST00000452135
ENSG00000196455	ENSP00000349205	PIK3R4	ENST00000356763
ENSG00000185324	ENSP00000329957	CDK10	ENST00000331006
ENSG00000097007	ENSP00000361423	ABL1	ENST00000372348
ENSG00000126562	ENSP00000246914	WNK4	ENST00000246914
ENSG00000165238	ENSP00000412465	WNK2	ENST00000448039
ENSG00000139567	ENSP00000455848	ACVRL1	ENST00000551576
ENSG00000113721	ENSP00000261799	PDGFRB	ENST00000261799
ENSG00000166484	ENSP00000299612	MAPK7	ENST00000299612
ENSG00000117676	ENSP00000434616	RPS6KA1	ENST00000525525
ENSG00000112742	ENSP00000422936	TTK	ENST00000509894
ENSG00000146904		EPHA1	ENST00000458129
ENSG00000142731	ENSP00000270861	PLK4	ENST00000270861
ENSG00000135503	ENSP00000257963	ACVR1B	ENST00000257963
ENSG00000149311	ENSP00000435747	ATM	ENST00000527805
ENSG00000065361	ENSP00000448636	ERBB3	ENST00000549282
ENSG00000234507	ENSP00000401791	BRD2	ENST00000438194
ENSG00000169302		STK32A	ENST00000306304
ENSG00000198001	ENSP00000408734	IRAK4	ENST00000440781
ENSG00000183421	ENSP00000332454	RIPK4	ENST00000332512
ENSG00000184304	ENSP00000333568	PRKD1	ENST00000331968
ENSG00000170209	ENSP00000306678	ANKK1	ENST00000303941
ENSG00000142733	ENSP00000418932	MAP3K6	ENST00000486046
ENSG00000143322	ENSP00000427562	ABL2	ENST00000502732
ENSG00000196367	ENSP00000401107	TRRAP	ENST00000417523
ENSG00000121101	ENSP00000374584	TEX14	ENST00000389934
ENSG00000000938	ENSP00000363117	FGR	ENST00000374005
ENSG00000071242	ENSP00000265678	RPS6KA2	ENST00000265678
ENSG00000101349	ENSP00000367679	PAK7	ENST00000378423
ENSG00000167601	ENSP00000301178	AXL	ENST00000301178
ENSG00000198870	ENSP00000361025	C9orf96	ENST00000371957
ENSG00000197442	ENSP00000351908	MAP3K5	ENST00000359015
ENSG00000156873	ENSP00000455607	PHKG2	ENST00000563588
ENSG00000010810	ENSP00000357671	FYN	ENST00000368682
ENSG00000070808	ENSP00000261793	CAMK2A	ENST00000348628
ENSG00000125834	ENSP00000370891	STK35	ENST00000381482
ENSG00000100030	ENSP00000215832	MAPK1	ENST00000215832
ENSG00000135250		SRPK2	ENST00000493638
ENSG00000037280	ENSP00000261937	FLT4	ENST00000261937
ENSG00000122025	ENSP00000241453	FLT3	ENST00000241453
ENSG00000034152	ENSP00000378869	MAP2K3	ENST00000395491
ENSG00000121989		ACVR2A	ENST00000487959
ENSG00000148660	ENSP00000277853	CAMK2G	ENST00000351293
ENSG00000185532	ENSP00000363097	PRKG1	ENST00000373985
ENSG00000102882	ENSP00000263025	MAPK3	ENST00000263025
ENSG00000230456		DDR1	ENST00000490817
ENSG00000175634	ENSP00000435716	RPS6KB2	ENST00000530623
ENSG00000120156	ENSP00000430686	TEK	ENST00000519097
ENSG00000250506	ENSP00000466237	CDK3	ENST00000588812
ENSG00000135828	ENSP00000356530	RNASEL	ENST00000367559
ENSG00000204256	ENSP00000363958	BRD2	ENST00000374825
ENSG00000168404	ENSP00000303118	MLKL	ENST00000306247
ENSG00000142627	ENSP00000351209	EPHA2	ENST00000358432
ENSG00000212122	ENSP00000375081	TSSK1B	ENST00000390666
ENSG00000102755	ENSP00000282397	FLT1	ENST00000282397
ENSG00000112655	ENSP00000230419	PTK7	ENST00000230419
ENSG00000107968	ENSP00000263056	MAP3K8	ENST00000263056
ENSG00000134070	ENSP00000256458	IRAK2	ENST00000256458
ENSG00000141639	ENSP00000383234	MAPK4	ENST00000400384
ENSG00000132155	ENSP00000251849	RAF1	ENST00000251849
ENSG00000168038		ULK4	ENST00000489118
ENSG00000119121	ENSP00000354006	TRPM6	ENST00000360774
ENSG00000106683	ENSP00000409717	LIMK1	ENST00000418310
ENSG00000062524	ENSP00000347293	LTK	ENST00000355166
ENSG00000067992	ENSP00000368460	PDK3	ENST00000379162
ENSG00000160867	ENSP00000292408	FGFR4	ENST00000292408
ENSG00000151422	ENSP00000281092	FER	ENST00000281092
ENSG00000178950		GAK	ENST00000502799
ENSG00000105613	ENSP00000466470	MAST1	ENST00000591495
ENSG00000184216	ENSP00000358997	IRAK1	ENST00000369980
ENSG00000234704	ENSP00000391246	BRD2	ENST00000414731
ENSG00000005882	ENSP00000007708	PDK2	ENST00000007708
ENSG00000176105	ENSP00000464380	YES1	ENST00000577961
ENSG00000133597	ENSP00000072869	ADCK2	ENST00000072869
ENSG00000204580	ENSP00000424346	DDR1	ENST00000502955
ENSG00000114670	ENSP00000421549	NEK11	ENST00000510769
ENSG00000172315	ENSP00000361186	TP53RK	ENST00000372114
ENSG00000141867	ENSP00000263377	BRD4	ENST00000263377
ENSG00000061938	ENSP00000398614	TNK2	ENST00000416152
ENSG00000215522		DDR1	ENST00000473596
ENSG00000182866	ENSP00000337825	LCK	ENST00000336890
ENSG00000142235	ENSP00000472020	LMTK3	ENST00000600059
ENSG00000186716		BCR	ENST00000479188
ENSG00000010671	ENSP00000308176	BTK	ENST00000308731
ENSG00000198873	ENSP00000376609	GRK5	ENST00000392870
ENSG00000162526		TSSK3	ENST00000421153
ENSG00000140538	ENSP00000377990	NTRK3	ENST00000394480
ENSG00000183735	ENSP00000329967	TBK1	ENST00000331710
ENSG00000123612	ENSP00000243349	ACVR1C	ENST00000243349
ENSG00000115170	ENSP00000263640	ACVR1	ENST00000263640
ENSG00000159792		PSKH1	ENST00000570631
ENSG00000226257		STK19	ENST00000497732
ENSG00000092445	ENSP00000454050	TYRO3	ENST00000559066
ENSG00000122728	ENSP00000418379	TAF1L	ENST00000242310
ENSG00000196632	ENSP00000364312	WNK3	ENST00000375169
ENSG00000151414	ENSP00000356355	NEK7	ENST00000367385
ENSG00000163349	ENSP00000407442	HIPK1	ENST00000426820
ENSG00000146648	ENSP00000415559	EGFR	ENST00000455089
ENSG00000197323	ENSP00000351250	TRIM33	ENST00000358465
ENSG00000130669	ENSP00000471318	PAK4	ENST00000602004
ENSG00000099725		PRKY	ENST00000528056
ENSG00000028116	ENSP00000408002	VRK2	ENST00000435505
ENSG00000166483	ENSP00000402084	WEE1	ENST00000450114
ENSG00000067900	ENSP00000382697	ROCK1	ENST00000399799
ENSG00000151292		CSNK1G3	ENST00000508708
ENSG00000141503	ENSP00000347427	MINK1	ENST00000355280
ENSG00000100749	ENSP00000216639	VRK1	ENST00000216639
ENSG00000196182	ENSP00000352245	STK40	ENST00000359297
ENSG00000072518	ENSP00000425765	MARK2	ENST00000508192
ENSG00000206203	ENSP00000382544	TSSK2	ENST00000399635
ENSG00000149269	ENSP00000348696	PAK1	ENST00000356341
ENSG00000198355	ENSP00000353824	PIM3	ENST00000360612
ENSG00000206342		STK19	ENST00000478304
ENSG00000196335	ENSP00000348132	STK31	ENST00000355870
ENSG00000236250		STK19	ENST00000478011
ENSG00000223680		DDR1	ENST00000488414
ENSG00000183317	ENSP00000436425	EPHA10	ENST00000432874
ENSG00000149554	ENSP00000434141	CHEK1	ENST00000525396
ENSG00000198055	ENSP00000422873	GRK6	ENST00000502598
ENSG00000104365	ENSP00000430684	IKBKB	ENST00000520810
ENSG00000111816	ENSP00000476145	FRK	ENST00000606080
ENSG00000110931	ENSP00000376266	CAMKK2	ENST00000392474
ENSG00000198648		STK39	ENST00000487143
ENSG00000065559	ENSP00000262445	MAP2K4	ENST00000353533
ENSG00000185974	ENSP00000334876	GRK1	ENST00000335678
ENSG00000103507	ENSP00000378405	BCKDK	ENST00000394951
ENSG00000236227	ENSP00000400369	BRD2	ENST00000416727
ENSG00000068078	ENSP00000420533	FGFR3	ENST00000481110
ENSG00000141736	ENSP00000462438	ERBB2	ENST00000584601
ENSG00000112144	ENSP00000263043	ICK	ENST00000350082
ENSG00000071909		MYO3B	ENST00000409940
ENSG00000188130		MAPK12	ENST00000497036
ENSG00000101782	ENSP00000341874	RIOK3	ENST00000339486
ENSG00000134853	ENSP00000257290	PDGFRA	ENST00000257290
ENSG00000198586	ENSP00000411099	TLK1	ENST00000431350
ENSG00000168297	ENSP00000348472	PXK	ENST00000356151
ENSG00000065534	ENSP00000354004	MYLK	ENST00000360772
ENSG00000087586	ENSP00000360407	AURKA	ENST00000371356
ENSG00000185386	ENSP00000333685	MAPK11	ENST00000330651
ENSG00000157404	ENSP00000390987	KIT	ENST00000412167
ENSG00000120899	ENSP00000380638	PTK2B	ENST00000397501
ENSG00000137601	ENSP00000408020	NEK1	ENST00000439128
ENSG00000188322	ENSP00000343248	SBK1	ENST00000341901
ENSG00000066468	ENSP00000351276	FGFR2	ENST00000358487
ENSG00000204344		STK19	ENST00000466132
ENSG00000163545	ENSP00000356125	NUAK2	ENST00000367157
ENSG00000169398	ENSP00000429911	PTK2	ENST00000522684
ENSG00000152256	ENSP00000399558	PDK1	ENST00000443353
ENSG00000006837		CDKL3	ENST00000520515
ENSG00000128052	ENSP00000263923	KDR	ENST00000263923
ENSG00000136807	ENSP00000395872	CDK9	ENST00000421939
ENSG00000143466	ENSP00000356087	IKBKE	ENST00000367120
ENSG00000143479	ENSP00000356076	DYRK3	ENST00000367109
ENSG00000162889	ENSP00000294981	MAPKAPK2	ENST00000294981
ENSG00000066056	ENSP00000361554	TIE1	ENST00000372476
ENSG00000096063	ENSP00000362931	SRPK1	ENST00000373825
ENSG00000171105	ENSP00000342838	INSR	ENST00000341500
ENSG00000060140	ENSP00000075503	STYK1	ENST00000075503
ENSG00000047936	ENSP00000357494	ROS1	ENST00000368508
ENSG00000134072	ENSP00000256460	CAMK1	ENST00000256460
ENSG00000166333	ENSP00000299421	ILK	ENST00000299421
ENSG00000078061	ENSP00000366244	ARAF	ENST00000377045
ENSG00000183943	ENSP00000262848	PRKX	ENST00000262848
ENSG00000163785		RYK	ENST00000484106
ENSG00000092439	ENSP00000454066	TRPM7	ENST00000561267
ENSG00000134318	ENSP00000317985	ROCK2	ENST00000315872
ENSG00000008118	ENSP00000009105	CAMK1G	ENST00000009105
ENSG00000115977	ENSP00000386342	AAK1	ENST00000409068
ENSG00000160145	ENSP00000395236	KALRN	ENST00000448253
ENSG00000168078	ENSP00000301905	PBK	ENST00000301905
ENSG00000181409	ENSP00000324196	AATK	ENST00000326724
ENSG00000109339	ENSP00000378598	MAPK10	ENST00000395169
ENSG00000126583	ENSP00000471544	PRKCG	ENST00000479081
ENSG00000164776	ENSP00000297373	PHKG1	ENST00000297373
ENSG00000117650	ENSP00000355966	NEK2	ENST00000366999
ENSG00000173846	ENSP00000361275	PLK3	ENST00000372201
ENSG00000112062	ENSP00000229795	MAPK14	ENST00000229795
ENSG00000113263	ENSP00000430327	ITK	ENST00000521769
ENSG00000125388	ENSP00000381128	GRK4	ENST00000398051
ENSG00000154928		EPHB1	ENST00000467013
ENSG00000136643	ENSP00000355927	RPS6KC1	ENST00000366960
ENSG00000164543		STK17A	ENST00000462448
ENSG00000155657	ENSP00000343764	TTN	ENST00000342992
ENSG00000070759	ENSP00000361156	TESK2	ENST00000372084
ENSG00000105204	ENSP00000469863	DYRK1B	ENST00000593685
ENSG00000156711		MAPK13	ENST00000476951
ENSG00000086015		MAST2	ENST00000470809
ENSG00000116141	ENSP00000355885	MARK1	ENST00000366918
ENSG00000163491	ENSP00000295720	NEK10	ENST00000295720
ENSG00000079277	ENSP00000339197	MKNK1	ENST00000342571
ENSG00000072062	ENSP00000309591	PRKACA	ENST00000308677
ENSG00000065675	ENSP00000263125	PRKCQ	ENST00000263125
ENSG00000114904	ENSP00000233027	NEK4	ENST00000233027
ENSG00000196411	ENSP00000353833	EPHB4	ENST00000360620
ENSG00000169418	ENSP00000357669	NPR1	ENST00000368680
ENSG00000069956		MAPK6	ENST00000560802
ENSG00000253729		PRKDC	ENST00000523565
ENSG00000198208		RPS6KL1	ENST00000555834
ENSG00000143776	ENSP00000355729	CDC42BPA	ENST00000366767
ENSG00000130758	ENSP00000253055	MAP3K10	ENST00000253055
ENSG00000081320	ENSP00000263955	STK17B	ENST00000263955
ENSG00000103319	ENSP00000263026	EEF2K	ENST00000263026
ENSG00000152953	ENSP00000282908	STK32B	ENST00000282908
ENSG00000105221	ENSP00000375892	AKT2	ENST00000392038
ENSG00000174292	ENSP00000458834	TNK1	ENST00000570896
ENSG00000154358	ENSP00000284548	OBSCN	ENST00000284548
ENSG00000113240		CLK4	ENST00000520878
ENSG00000119638	ENSP00000238616	NEK9	ENST00000238616
ENSG00000076984	ENSP00000381068	MAP2K7	ENST00000397981
ENSG00000104375		STK3	ENST00000517832
ENSG00000165731	ENSP00000347942	RET	ENST00000355710
ENSG00000176444	ENSP00000354856	CLK2	ENST00000361168
ENSG00000162409	ENSP00000360290	PRKAA2	ENST00000371244
ENSG00000164076		CAMKV	ENST00000475665
ENSG00000179335		CLK3	ENST00000564353
ENSG00000013441	ENSP00000326830	CLK1	ENST00000321356
ENSG00000147133	ENSP00000362895	TAF1	ENST00000373790
ENSG00000148053	ENSP00000365381	NTRK2	ENST00000376208
ENSG00000165304	ENSP00000298048	MELK	ENST00000298048
ENSG00000164078	ENSP00000296474	MST1R	ENST00000296474
ENSG00000100490	ENSP00000379176	CDKL1	ENST00000395834
ENSG00000012983		MAP4K5	ENST00000554990
ENSG00000185483	ENSP00000360121	ROR1	ENST00000371080
ENSG00000162434	ENSP00000343204	JAK1	ENST00000342505
ENSG00000163932	ENSP00000419726	PRKCD	ENST00000478843
ENSG00000204217	ENSP00000363708	BMPR2	ENST00000374580
ENSG00000141551	ENSP00000462079	CSNK1D	ENST00000584672
ENSG00000145242	ENSP00000273854	EPHA5	ENST00000273854
ENSG00000160396	ENSP00000291823	HIPK4	ENST00000291823
ENSG00000103653	ENSP00000220003	CSK	ENST00000220003
ENSG00000058404	ENSP00000326375	CAMK2B	ENST00000350811
ENSG00000198400		NTRK1	ENST00000489021
ENSG00000027644	ENSP00000357178	INSRR	ENST00000368195
ENSG00000198752	ENSP00000355237	CDC42BPB	ENST00000361246
ENSG00000182511	ENSP00000410477	FES	ENST00000416779
ENSG00000117020	ENSP00000336943	AKT3	ENST00000336199
ENSG00000105053	ENSP00000324636	VRK3	ENST00000316763
ENSG00000116783		TNNI3K	ENST00000533006
ENSG00000140474	ENSP00000400312	ULK3	ENST00000440863
ENSG00000183049	ENSP00000368124	CAMK1D	ENST00000378847
ENSG00000254087	ENSP00000428924	LYN	ENST00000519728
ENSG00000075413	ENSP00000402104	MARK3	ENST00000440884
ENSG00000166851		PLK1	ENST00000562272
ENSG00000178568	ENSP00000342235	ERBB4	ENST00000342788
ENSG00000172680	ENSP00000310722	MOS	ENST00000311923
