loc	ensg	name	tss_loc	strand
chrX:47494920-47510003	ENSG00000126767	ELK1	chrX:47510003-47510003	-1
chr3:23986751-24022109	ENSG00000174738	NR1D2	chr3:23986751-23986751	1
chr8:145554228-145559943	ENSG00000170616	SCRT1	chr8:145559943-145559943	-1
chr16:3138891-3149318	ENSG00000130182	ZSCAN10	chr16:3149318-3149318	-1
chr16:68118654-68263162	ENSG00000072736	NFATC3	chr16:68118654-68118654	1
chr8:146076632-146127553	ENSG00000196150	ZNF250	chr8:146127553-146127553	-1
chr9:130186661-130207651	ENSG00000196152	ZNF79	chr9:130186661-130186661	1
chr9:99518147-99540411	ENSG00000081386	ZNF510	chr9:99540411-99540411	-1
chr17:11880762-11900827	ENSG00000154957	ZNF18	chr17:11900827-11900827	-1
chr4:111538579-111563279	ENSG00000164093	PITX2	chr4:111563279-111563279	-1
chr19:35447258-35454953	ENSG00000180884	ZNF792	chr19:35454953-35454953	-1
chr19:53206066-53238326	ENSG00000213020	ZNF611	chr19:53238326-53238326	-1
chr5:23507264-23528706	ENSG00000164256	PRDM9	chr5:23507264-23507264	1
chrY:2654896-2655740	ENSG00000184895	SRY	chrY:2655740-2655740	-1
chr14:64550950-64804830	ENSG00000140009	ESR2	chr14:64804830-64804830	-1
chr6:51480098-51952423	ENSG00000170927	PKHD1	chr6:51952423-51952423	-1
chr19:9800600-9811452	ENSG00000224689	ZNF812	chr19:9811452-9811452	-1
chr16:89284118-89295363	ENSG00000170100	ZNF778	chr16:89284118-89284118	1
chr7:64254766-64294054	ENSG00000197008	ZNF138	chr7:64254766-64254766	1
chr18:22641890-22932154	ENSG00000198795	ZNF521	chr18:22932154-22932154	-1
chrX:47696301-47861960	ENSG00000197779	ZNF81	chrX:47696301-47696301	1
chr19:57106632-57137849	ENSG00000197951	ZNF71	chr19:57106632-57106632	1
chr11:65686728-65689032	ENSG00000175550	DRAP1	chr11:65686728-65686728	1
chr10:38238500-38265561	ENSG00000175395	ZNF25	chr10:38265561-38265561	-1
chr5:1877541-1887350	ENSG00000113430	IRX4	chr5:1887350-1887350	-1
chrY:21865751-21906825	ENSG00000012817	KDM5D	chrY:21906825-21906825	-1
chr11:61520114-61555990	ENSG00000124920	MYRF	chr11:61520114-61520114	1
chr6:35441374-35464853	ENSG00000007866	TEAD3	chr6:35464853-35464853	-1
chr11:128555046-128683161	ENSG00000151702	FLI1	chr11:128555046-128555046	1
chr2:28615315-28640179	ENSG00000075426	FOSL2	chr2:28615315-28615315	1
chr7:17338246-17385776	ENSG00000106546	AHR	chr7:17338246-17338246	1
chr19:56643968-56672262	ENSG00000167685	ZNF444	chr19:56643968-56643968	1
chr18:5289018-5297052	ENSG00000198081	ZBTB14	chr18:5297052-5297052	-1
chr8:145698795-145701718	ENSG00000160973	FOXH1	chr8:145701718-145701718	-1
chr6:27775257-27775709	ENSG00000185130	HIST1H2BL	chr6:27775709-27775709	-1
chr16:4798240-4817625	ENSG00000103199	ZNF500	chr16:4817625-4817625	-1
chr5:149546358-149564120	ENSG00000113722	CDX1	chr5:149546358-149546358	1
chr11:34642640-34682604	ENSG00000135373	EHF	chr11:34642640-34642640	1
chr15:57210821-57591479	ENSG00000140262	TCF12	chr15:57210821-57210821	1
chr15:43650370-43663223	ENSG00000140265	ZSCAN29	chr15:43663223-43663223	-1
chr1:116378998-116386538	ENSG00000177551	NHLH2	chr1:116386538-116386538	-1
chr19:44416781-44439430	ENSG00000124459	ZNF45	chr19:44439430-44439430	-1
chr15:41913422-42062141	ENSG00000174197	MGA	chr15:41913422-41913422	1
chr8:144328991-144344875	ENSG00000181638	ZFP41	chr8:144328991-144328991	1
chr1:40942887-40962015	ENSG00000187815	ZFP69	chr1:40942887-40942887	1
chr1:120162045-120190396	ENSG00000143067	ZNF697	chr1:120190396-120190396	-1
chr7:21467652-21554440	ENSG00000105866	SP4	chr7:21467652-21467652	1
chr14:21558205-21572881	ENSG00000165804	ZNF219	chr14:21572881-21572881	-1
chr19:58985384-58992597	ENSG00000083838	ZNF446	chr19:58985384-58985384	1
chr19:53300662-53360853	ENSG00000198538	ZNF28	chr19:53360853-53360853	-1
chr13:45007655-45151283	ENSG00000102804	TSC22D1	chr13:45151283-45151283	-1
chr1:204042243-204096863	ENSG00000143842	SOX13	chr1:204042243-204042243	1
chr19:19256376-19302967	ENSG00000064489	MEF2BNB-MEF2B	chr19:19302967-19302967	-1
chr21:30566392-31003071	ENSG00000156273	BACH1	chr21:30566392-30566392	1
chr4:139949266-140098372	ENSG00000109381	ELF2	chr4:140098372-140098372	-1
chr2:66660584-66801001	ENSG00000143995	MEIS1	chr2:66660584-66660584	1
chr20:306207-310865	ENSG00000177732	SOX12	chr20:306207-306207	1
chr19:52616344-52643175	ENSG00000204611	ZNF616	chr19:52643175-52643175	-1
chr9:79634571-79635869	ENSG00000204612	FOXB2	chr9:79634571-79634571	1
chr3:128198270-128212028	ENSG00000179348	GATA2	chr3:128212028-128212028	-1
chr9:22446840-22452472	ENSG00000176399	DMRTA1	chr9:22446840-22446840	1
chr2:190649107-190742355	ENSG00000064933	PMS1	chr2:190649107-190649107	1
chr6:134210276-134216691	ENSG00000118526	TCF21	chr6:134210276-134210276	1
chr9:127243516-127269709	ENSG00000136931	NR5A1	chr9:127269709-127269709	-1
chr2:73518058-73520833	ENSG00000135625	EGR4	chr2:73520833-73520833	-1
chr19:36602104-36604613	ENSG00000105261	OVOL3	chr19:36602104-36602104	1
chr19:21987752-22034927	ENSG00000198521	ZNF43	chr19:22034927-22034927	-1
chr19:52873170-52889048	ENSG00000221923	ZNF880	chr19:52873170-52873170	1
chr19:42572629-42585701	ENSG00000105732	ZNF574	chr19:42572629-42572629	1
chr4:57774075-57802010	ENSG00000084093	REST	chr4:57774075-57774075	1
chr14:24630262-24635774	ENSG00000213928	IRF9	chr14:24630262-24630262	1
chr22:46546424-46639653	ENSG00000186951	PPARA	chr22:46546424-46546424	1
chr4:13542454-13546674	ENSG00000109705	NKX3-2	chr4:13546674-13546674	-1
chr3:126156444-126194762	ENSG00000070476	ZXDC	chr3:126194762-126194762	-1
chr1:59246465-59249785	ENSG00000177606	JUN	chr1:59249785-59249785	-1
chr6:105404923-105531207	ENSG00000187772	LIN28B	chr6:105404923-105404923	1
chr8:146052849-146072894	ENSG00000147789	ZNF7	chr8:146052849-146052849	1
chr1:203052260-203055164	ENSG00000122180	MYOG	chr1:203055164-203055164	-1
chr17:38249040-38256978	ENSG00000126368	NR1D1	chr17:38256978-38256978	-1
chr19:57999079-58006048	ENSG00000105136	ZNF419	chr19:57999079-57999079	1
chr8:25699246-25902913	ENSG00000221818	EBF2	chr8:25902913-25902913	-1
chr3:62355356-62359999	ENSG00000153266	FEZF2	chr3:62359999-62359999	-1
chr8:11961898-11973025	ENSG00000215343	ZNF705D	chr8:11961898-11961898	1
chr6:26043455-26043885	ENSG00000196226	HIST1H2BB	chr6:26043885-26043885	-1
chr9:139270029-139293249	ENSG00000165684	SNAPC4	chr9:139293249-139293249	-1
chr9:1050354-1057552	ENSG00000173253	DMRT2	chr9:1050354-1050354	1
chr9:70917276-70920000	ENSG00000187559	FOXD4L3	chr9:70917276-70917276	1
chr19:46268043-46272484	ENSG00000177045	SIX5	chr19:46272484-46272484	-1
chr9:114287439-114340124	ENSG00000173258	ZNF483	chr9:114287439-114287439	1
chr2:61108656-61150645	ENSG00000162924	REL	chr2:61108656-61108656	1
chr13:100615218-100624163	ENSG00000139800	ZIC5	chr13:100624163-100624163	-1
chr14:65472892-65569413	ENSG00000125952	MAX	chr14:65569413-65569413	-1
chr8:144371846-144380231	ENSG00000185730	ZNF696	chr8:144371846-144371846	1
chr12:53604354-53626764	ENSG00000172819	RARG	chr12:53626764-53626764	-1
chr11:65554493-65564690	ENSG00000172818	OVOL1	chr11:65554493-65554493	1
chr10:98592017-98740800	ENSG00000196233	LCOR	chr10:98592017-98592017	1
chr19:12428291-12444534	ENSG00000188868	ZNF563	chr19:12444534-12444534	-1
chr16:75728367-75734089	ENSG00000214325	AC025287.1	chr16:75734089-75734089	-1
chr19:12125547-12146556	ENSG00000197647	ZNF433	chr19:12146556-12146556	-1
chr19:925781-975939	ENSG00000116017	ARID3A	chr19:925781-925781	1
chr4:87856154-88062206	ENSG00000172493	AFF1	chr4:87856154-87856154	1
chr19:15530792-15560762	ENSG00000011451	WIZ	chr19:15560762-15560762	-1
chr16:30580667-30584055	ENSG00000229809	ZNF688	chr16:30584055-30584055	-1
chr17:7491496-7493488	ENSG00000129194	SOX15	chr17:7493488-7493488	-1
chr9:34621376-34628104	ENSG00000205143	ARID3C	chr9:34628104-34628104	-1
chr21:27106881-27144771	ENSG00000154727	GABPA	chr21:27106881-27106881	1
chr20:49505585-49547958	ENSG00000101126	ADNP	chr20:49547958-49547958	-1
chr11:65421067-65430565	ENSG00000173039	RELA	chr11:65430565-65430565	-1
chr9:35732332-35737001	ENSG00000107175	CREB3	chr9:35732332-35732332	1
chr4:1396720-1400119	ENSG00000235608	NKX1-1	chr4:1400119-1400119	-1
chr1:93811445-93828149	ENSG00000117505	DR1	chr1:93811445-93811445	1
chr19:46367247-46377055	ENSG00000170608	FOXA3	chr19:46367247-46367247	1
chr20:62679076-62680994	ENSG00000203883	SOX18	chr20:62680994-62680994	-1
chr12:124808961-125052135	ENSG00000196498	NCOR2	chr12:125052135-125052135	-1
chr19:12175514-12192380	ENSG00000223547	ZNF844	chr19:12175514-12175514	1
chr19:31765851-31840453	ENSG00000121297	TSHZ3	chr19:31840453-31840453	-1
chr19:40575059-40596845	ENSG00000197782	ZNF780A	chr19:40596845-40596845	-1
chr7:113726382-114333827	ENSG00000128573	FOXP2	chr7:113726382-113726382	1
chr12:10851683-10875911	ENSG00000060138	YBX3	chr12:10875911-10875911	-1
chr14:58765103-58840605	ENSG00000032219	ARID4A	chr14:58765103-58765103	1
chr15:96869167-96883492	ENSG00000185551	NR2F2	chr15:96869167-96869167	1
chr19:21679484-21739072	ENSG00000197013	ZNF429	chr19:21679484-21679484	1
chr19:57078880-57100279	ENSG00000197016	ZNF470	chr19:57078880-57078880	1
chr8:110374706-110542559	ENSG00000205038	PKHD1L1	chr8:110374706-110374706	1
chr2:242523820-242576864	ENSG00000176946	THAP4	chr2:242576864-242576864	-1
chr19:58089824-58105145	ENSG00000171649	ZIK1	chr19:58089824-58089824	1
chr20:61637331-61638387	ENSG00000125533	BHLHE23	chr20:61638387-61638387	-1
chr18:45357922-45457515	ENSG00000175387	SMAD2	chr18:45457515-45457515	-1
chr5:157052687-157098488	ENSG00000039600	SOX30	chr5:157098488-157098488	-1
chr1:6845384-7829766	ENSG00000171735	CAMTA1	chr1:6845384-6845384	1
chr11:19245610-19263167	ENSG00000129173	E2F8	chr11:19263167-19263167	-1
chr7:39017598-39532694	ENSG00000106536	POU6F2	chr7:39017598-39017598	1
chr19:9715356-9732075	ENSG00000171469	ZNF561	chr19:9732075-9732075	-1
chr17:6926339-6933609	ENSG00000161940	BCL6B	chr17:6926339-6926339	1
chr19:14800613-14844558	ENSG00000160961	ZNF333	chr19:14800613-14800613	1
chr8:144766622-144796068	ENSG00000181135	ZNF707	chr8:144766622-144766622	1
chr3:147103833-147124647	ENSG00000174963	ZIC4	chr3:147124647-147124647	-1
chr19:38045684-38085673	ENSG00000180479	ZNF571	chr19:38085673-38085673	-1
chr1:33722146-33766320	ENSG00000160094	ZNF362	chr1:33722146-33722146	1
chr5:149379884-149432386	ENSG00000113716	HMGXB3	chr5:149379884-149379884	1
chr16:30585061-30597092	ENSG00000197162	ZNF785	chr16:30597092-30597092	-1
chr4:41746099-41750987	ENSG00000109132	PHOX2B	chr4:41750987-41750987	-1
chr19:12460185-12476719	ENSG00000198342	ZNF442	chr19:12476719-12476719	-1
chr2:95831177-95850065	ENSG00000163067	ZNF2	chr2:95831177-95831177	1
chr19:53970989-54006950	ENSG00000198346	ZNF813	chr19:53970989-53970989	1
chr3:87308554-87325737	ENSG00000064835	POU1F1	chr3:87325737-87325737	-1
chr19:8920380-8943004	ENSG00000167785	ZNF558	chr19:8943004-8943004	-1
chr19:46236509-46267792	ENSG00000237452	AC074212.3	chr19:46236509-46236509	1
chr17:46125691-46138849	ENSG00000082641	NFE2L1	chr17:46125691-46125691	1
chr7:106809406-106842974	ENSG00000105856	HBP1	chr7:106809406-106809406	1
chr7:100060982-100076902	ENSG00000166925	TSC22D4	chr7:100076902-100076902	-1
chr1:40915774-40929390	ENSG00000187801	ZFP69B	chr1:40915774-40915774	1
chr2:223064607-223163715	ENSG00000135903	PAX3	chr2:223163715-223163715	-1
chrX:72667090-72675081	ENSG00000131264	CDX4	chrX:72667090-72667090	1
chr15:90303822-90321982	ENSG00000188095	MESP2	chr15:90303822-90303822	1
chr5:172659112-172662360	ENSG00000183072	NKX2-5	chr5:172662360-172662360	-1
chr19:53341261-53360902	ENSG00000204604	ZNF468	chr19:53360902-53360902	-1
chr20:2462463-2505348	ENSG00000088876	ZNF343	chr20:2505348-2505348	-1
chr9:100615536-100618986	ENSG00000178919	FOXE1	chr9:100615536-100615536	1
chr11:62360686-62369312	ENSG00000149480	MTA2	chr11:62369312-62369312	-1
chr3:44540462-44552128	ENSG00000178917	ZNF852	chr3:44552128-44552128	-1
chr20:39807088-39946312	ENSG00000174306	ZHX3	chr20:39946312-39946312	-1
chr3:57231944-57260549	ENSG00000163666	HESX1	chr3:57260549-57260549	-1
chr13:114239013-114295785	ENSG00000198176	TFDP1	chr13:114239013-114239013	1
chr3:124944405-125094198	ENSG00000163848	ZNF148	chr3:125094198-125094198	-1
chr19:9523272-9546254	ENSG00000174652	ZNF266	chr19:9546254-9546254	-1
chr19:19821280-19843906	ENSG00000105708	ZNF14	chr19:19843906-19843906	-1
chr11:13298199-13408813	ENSG00000133794	ARNTL	chr11:13298199-13298199	1
chr5:76367897-76383148	ENSG00000132846	ZBED3	chr5:76383148-76383148	-1
chr17:2287354-2304412	ENSG00000070444	MNT	chr17:2304412-2304412	-1
chr8:12213645-12216900	ENSG00000215339	ZNF705C	chr8:12213645-12213645	1
chr9:70175707-70178815	ENSG00000204779	FOXD4L5	chr9:70178815-70178815	-1
chr2:70124820-70170077	ENSG00000059728	MXD1	chr2:70124820-70124820	1
chr19:58962971-58969200	ENSG00000249471	ZNF324B	chr19:58962971-58962971	1
chr19:21203426-21242856	ENSG00000118620	ZNF430	chr19:21203426-21203426	1
chr1:75594119-75627218	ENSG00000162624	LHX8	chr1:75594119-75594119	1
chr1:41157320-41237275	ENSG00000066136	NFYC	chr1:41157320-41157320	1
chrX:585079-620146	ENSG00000185960	SHOX	chrX:585079-585079	1
chr6:15246527-15522252	ENSG00000008083	JARID2	chr6:15246527-15246527	1
chr1:164524821-164868533	ENSG00000185630	PBX1	chr1:164524821-164524821	1
chr3:44619715-44641186	ENSG00000144792	ZNF660	chr3:44619715-44619715	1
chr13:50018429-50069138	ENSG00000136169	SETDB2	chr13:50018429-50018429	1
chr9:127279554-127533589	ENSG00000148200	NR6A1	chr9:127533589-127533589	-1
chr6:28192664-28201260	ENSG00000137185	ZSCAN9	chr6:28192664-28192664	1
chr14:103058998-103196913	ENSG00000089902	RCOR1	chr14:103058998-103058998	1
chr17:40439565-40463961	ENSG00000126561	STAT5A	chr17:40439565-40439565	1
chr11:49103459-49104649	ENSG00000229361	UBTFL7	chr11:49103459-49103459	1
chr10:31607424-31818742	ENSG00000148516	ZEB1	chr10:31607424-31607424	1
chr2:176968944-176974722	ENSG00000128713	HOXD11	chr2:176968944-176968944	1
chr2:176973518-176984670	ENSG00000128710	HOXD10	chr2:176973518-176973518	1
chr11:9481866-9550071	ENSG00000166478	ZNF143	chr11:9481866-9481866	1
chr2:176957619-176960666	ENSG00000128714	HOXD13	chr2:176957619-176957619	1
chr11:3360491-3400448	ENSG00000005801	ZNF195	chr11:3400448-3400448	-1
chr12:77415027-77459360	ENSG00000165891	E2F7	chr12:77459360-77459360	-1
chr18:47793252-47808144	ENSG00000141644	MBD1	chr18:47808144-47808144	-1
chr18:48494410-48611415	ENSG00000141646	SMAD4	chr18:48494410-48494410	1
chr19:59024897-59050278	ENSG00000119574	ZBTB45	chr19:59050278-59050278	-1
chr9:108424738-108425367	ENSG00000186051	TAL2	chr9:108424738-108424738	1
chr10:74889913-74927853	ENSG00000122882	ECD	chr10:74927853-74927853	-1
chr17:40351186-40428725	ENSG00000173757	STAT5B	chr17:40428725-40428725	-1
chr10:44051792-44070066	ENSG00000196793	ZNF239	chr10:44070066-44070066	-1
chr19:12572373-12662288	ENSG00000196826	ZNF709	chr19:12662288-12662288	-1
chr19:53097313-53193749	ENSG00000167766	ZNF83	chr19:53193749-53193749	-1
chrX:83572882-83757487	ENSG00000165259	HDX	chrX:83757487-83757487	-1
chr6:28346732-28367511	ENSG00000158691	ZSCAN12	chr6:28367511-28367511	-1
chr17:46802125-46806540	ENSG00000159184	HOXB13	chr17:46806540-46806540	-1
chrX:152599613-152618384	ENSG00000063587	ZNF275	chrX:152599613-152599613	1
chr12:6775643-6798738	ENSG00000126746	ZNF384	chr12:6798738-6798738	-1
chr8:146155744-146176274	ENSG00000170631	ZNF16	chr8:146176274-146176274	-1
chr19:23921997-23941693	ENSG00000196172	ZNF681	chr19:23941693-23941693	-1
chr17:7191571-7197934	ENSG00000006047	YBX2	chr17:7197934-7197934	-1
chr5:122424816-122523745	ENSG00000061455	PRDM6	chr5:122424816-122424816	1
chr1:216676588-217311097	ENSG00000196482	ESRRG	chr1:217311097-217311097	-1
chr12:113899839-113910085	ENSG00000089116	LHX5	chr12:113910085-113910085	-1
chr16:4307187-4323076	ENSG00000090447	TFAP4	chr16:4323076-4323076	-1
chr14:95234553-95236562	ENSG00000133937	GSC	chr14:95236562-95236562	-1
chr10:114710009-114927437	ENSG00000148737	TCF7L2	chr10:114710009-114710009	1
chr7:27168126-27170418	ENSG00000197576	HOXA4	chr7:27170418-27170418	-1
chr12:54384408-54424607	ENSG00000197757	HOXC6	chr12:54384408-54384408	1
chr7:13930853-14031050	ENSG00000006468	ETV1	chr7:14031050-14031050	-1
chr10:38383264-38412276	ENSG00000075407	ZNF37A	chr10:38383264-38383264	1
chr19:23708433-23870022	ENSG00000197372	ZNF675	chr19:23870022-23870022	-1
chrX:53220503-53254604	ENSG00000126012	KDM5C	chrX:53254604-53254604	-1
chr17:7362685-7387582	ENSG00000174282	ZBTB4	chr17:7387582-7387582	-1
chr4:57514155-57548065	ENSG00000171476	HOPX	chr4:57548065-57548065	-1
chr17:37921198-38020441	ENSG00000161405	IKZF3	chr17:38020441-38020441	-1
chr9:116237-118417	ENSG00000170122	FOXD4	chr9:118417-118417	-1
chr20:55204358-55214339	ENSG00000087510	TFAP2C	chr20:55204358-55204358	1
chr2:113973574-114036527	ENSG00000125618	PAX8	chr2:114036527-114036527	-1
chr1:226411319-226414755	ENSG00000185155	MIXL1	chr1:226411319-226411319	1
chr19:11998599-12025144	ENSG00000198429	ZNF69	chr19:11998599-11998599	1
chr4:331603-378653	ENSG00000131127	ZNF141	chr4:331603-331603	1
chr1:6684926-6695646	ENSG00000041988	THAP3	chr1:6684926-6684926	1
chr16:51169886-51185278	ENSG00000103449	SALL1	chr16:51185278-51185278	-1
chr21:45705721-45718531	ENSG00000160224	AIRE	chr21:45705721-45705721	1
chr4:146678779-146859787	ENSG00000151612	ZNF827	chr4:146859787-146859787	-1
chr19:35168544-35177302	ENSG00000089335	ZNF302	chr19:35168544-35168544	1
chr19:20959110-20991922	ENSG00000160229	ZNF66	chr19:20959110-20959110	1
chr4:147560045-147563626	ENSG00000151615	POU4F2	chr4:147560045-147560045	1
chr5:50678921-50690564	ENSG00000016082	ISL1	chr5:50678921-50678921	1
chr12:100867486-100958191	ENSG00000012504	NR1H4	chr12:100867486-100867486	1
chr7:129251555-129396922	ENSG00000106459	NRF1	chr7:129251555-129251555	1
chr12:7940390-7948655	ENSG00000111704	NANOG	chr12:7940390-7940390	1
chr11:8959119-8964580	ENSG00000176009	ASCL3	chr11:8964580-8964580	-1
