ensg	name	enst	loc	tss_loc	strand	type	gc
ENSG00000142224	IL19	ENST00000270218	chr1:206828877-206842622	chr1:206828877-206828877	1	protein_coding	46.23217922606925
ENSG00000150281	CTF1	ENST00000279804	chr16:30896607-30903560	chr16:30896607-30896607	1	protein_coding	62.92067307692307
ENSG00000150782	IL18	ENST00000280357	chr11:112143251-112164117	chr11:112164117-112164117	-1	protein_coding	42.28421970357454
ENSG00000157368	IL34	ENST00000288098	chr16:70646565-70660682	chr16:70646565-70646565	1	protein_coding	62.538892345986305
ENSG00000164136	IL15	ENST00000296545	chr4:141636602-141733987	chr4:141636602-141636602	1	protein_coding	43.00161812297735
ENSG00000175505	CLCF1	ENST00000312438	chr11:67364168-67373737	chr11:67373737-67373737	-1	protein_coding	57.10412147505423
ENSG00000145839	IL9	ENST00000274520	chr5:135892246-135895827	chr5:135895827-135895827	-1	protein_coding	42.13197969543147
ENSG00000162892	IL24	ENST00000294984	chr1:206897444-206903865	chr1:206897444-206897444	1	protein_coding	47.50146972369195
ENSG00000174697	LEP	ENST00000308868	chr7:128241284-128257628	chr7:128241284-128241284	1	protein_coding	50.2046783625731
ENSG00000172349	IL16	ENST00000302987	chr15:81225400-81308798	chr15:81225400-81225400	1	protein_coding	55.36384096024006
ENSG00000169194	IL13	ENST00000304506	chr5:132658173-132661110	chr5:132658173-132658173	1	protein_coding	52.53312548713952
ENSG00000127318	IL22	ENST00000328087	chr12:68248789-68253502	chr12:68253502-68253502	-1	protein_coding	51.49006622516556
ENSG00000112116	IL17F	ENST00000336123	chr6:52236681-52244537	chr6:52244537-52244537	-1	protein_coding	46.705882352941174
ENSG00000136697	IL1F10	ENST00000341010	chr2:113067970-113075843	chr2:113067970-113067970	1	protein_coding	50.14807502467917
ENSG00000166090	IL25	ENST00000329715	chr14:23372861-23376403	chr14:23372861-23372861	1	protein_coding	56.1977186311787
ENSG00000112115	IL17A	ENST00000340057	chr6:52186387-52190638	chr6:52186387-52186387	1	protein_coding	41.31253362022593
ENSG00000197272	IL27	ENST00000356897	chr16:28499362-28506834	chr16:28506834-28506834	-1	protein_coding	62.83524904214559
ENSG00000242689	CNTF	ENST00000361987	chr11:58622673-58625733	chr11:58622673-58622673	1	protein_coding	44.1921858500528
ENSG00000136634	IL10	ENST00000367099	chr1:206769621-206771189	chr1:206771189-206771189	-1	protein_coding	54.39856373429084
ENSG00000162891	IL20	ENST00000367098	chr1:206865354-206869223	chr1:206865354-206865354	1	protein_coding	43.142305215711524
ENSG00000204671	IL31	ENST00000377035	chr12:122172030-122174199	chr12:122174199-122174199	-1	protein_coding	46.1283185840708
ENSG00000137033	IL33	ENST00000381434	chr9:6241682-6257983	chr9:6241682-6241682	1	protein_coding	34.68383188186293
ENSG00000255073	ZFP91-CNTF	ENST00000389919	chr11:58579172-58624566	chr11:58579172-58579172	1	protein_coding	53.04010349288486
