Gene Symbol	Annotation ID	Synonyms	Gene Description	Species	RNA-binding Domains	Number of experiments	Homologs
DUS3L	ENSG00000141994	DUS3; FLJ13896	dihydrouridine synthase 3-like (S. cerevisiae) [Source:HGNC Symbol;Acc:26920]	Homo sapiens	Znf_CCCHx2	0	3
EIF2S1	ENSG00000134001	EIF-2alpha; EIF2A	"eukaryotic translation initiation factor 2, subunit 1 alpha, 35kDa [Source:HGNC Symbol;Acc:3265]"	Homo sapiens	S1x1	0	3
EIF3B	ENSG00000106263	PRT1; eIF3b	"eukaryotic translation initiation factor 3, subunit B [Source:HGNC Symbol;Acc:3280]"	Homo sapiens	RRMx1	0	2
EIF3G	ENSG00000130811	eIF3-delta; eIF3-p44; eIF3g	"eukaryotic translation initiation factor 3, subunit G [Source:HGNC Symbol;Acc:3274]"	Homo sapiens	RRMx1	0	4
EIF4B	ENSG00000063046		eukaryotic translation initiation factor 4B [Source:HGNC Symbol;Acc:3285]	Homo sapiens	RRMx1	5	2
EIF4H	ENSG00000106682	WSCR1; KIAA0038	eukaryotic translation initiation factor 4H [Source:HGNC Symbol;Acc:12741]	Homo sapiens	RRMx1	0	3
ELAVL1	ENSG00000066044	HuR; Hua; MelG	"ELAV (embryonic lethal, abnormal vision, Drosophila)-like 1 (Hu antigen R) [Source:HGNC Symbol;Acc:3312]"	Homo sapiens	RRMx3	80	10
ELAVL2	ENSG00000107105	HuB; HEL-N1	"ELAV (embryonic lethal, abnormal vision, Drosophila)-like 2 (Hu antigen B) [Source:HGNC Symbol;Acc:3313]"	Homo sapiens	RRMx3	7	10
ELAVL3	ENSG00000196361	HUC; PLE21; DKFZp547J036; HUCL; MGC20653	"ELAV (embryonic lethal, abnormal vision, Drosophila)-like 3 (Hu antigen C) [Source:HGNC Symbol;Acc:3314]"	Homo sapiens	RRMx3	7	10
ELAVL4	ENSG00000162374	PNEM	"ELAV (embryonic lethal, abnormal vision, Drosophila)-like 4 (Hu antigen D) [Source:HGNC Symbol;Acc:3315]"	Homo sapiens	RRMx3	10	10
ENOX1	ENSG00000120658	FLJ10094; PIG38; CNOX; cCNOX	ecto-NOX disulfide-thiol exchanger 1 [Source:HGNC Symbol;Acc:25474]	Homo sapiens	RRMx1	0	3
ENOX2	ENSG00000165675	APK1; tNOX	ecto-NOX disulfide-thiol exchanger 2 [Source:HGNC Symbol;Acc:2259]	Homo sapiens	RRMx1	0	3
ESRP1	ENSG00000104413	FLJ20171	epithelial splicing regulatory protein 1 [Source:HGNC Symbol;Acc:25966]	Homo sapiens	RRMx3	1	5
ESRP2	ENSG00000103067	FLJ21918	epithelial splicing regulatory protein 2 [Source:HGNC Symbol;Acc:26152]	Homo sapiens	RRMx3	1	5
EWSR1	ENSG00000182944	EWS	Ewing sarcoma breakpoint region 1 [Source:HGNC Symbol;Acc:3508]	Homo sapiens	RRMx1; Znf_RanBP2	0	7
FMR1	ENSG00000102081	FMRP; FRAXA; MGC87458	fragile X mental retardation 1 [Source:HGNC Symbol;Acc:3775]	Homo sapiens	KHx2	13	4
FUBP1	ENSG00000162613	FBP	far upstream element (FUSE) binding protein 1 [Source:HGNC Symbol;Acc:4004]	Homo sapiens	KHx4	2	9
FUBP3	ENSG00000107164		far upstream element (FUSE) binding protein 3 [Source:HGNC Symbol;Acc:4005]	Homo sapiens	KHx4	0	9
FUS	ENSG00000089280	TLS; FUS1; hnRNP-P2	fused in sarcoma [Source:HGNC Symbol;Acc:4010]	Homo sapiens	RRMx1; Znf_RanBP2x1	2	7
FXR1	ENSG00000114416		"fragile X mental retardation, autosomal homolog 1 [Source:HGNC Symbol;Acc:4023]"	Homo sapiens	KHx2	0	4
FXR2	ENSG00000129245		"fragile X mental retardation, autosomal homolog 2 [Source:HGNC Symbol;Acc:4024]"	Homo sapiens	KHx2	0	4
G3BP1	ENSG00000145907	HDH-VIII; G3BP	GTPase activating protein (SH3 domain) binding protein 1 [Source:HGNC Symbol;Acc:30292]	Homo sapiens	RRMx1	1	3
G3BP2	ENSG00000138757	KIAA0660	GTPase activating protein (SH3 domain) binding protein 2 [Source:HGNC Symbol;Acc:30291]	Homo sapiens	RRMx1	0	3
GAPDH	ENSG00000111640	GAPD	glyceraldehyde-3-phosphate dehydrogenase [Source:HGNC Symbol;Acc:4141]	Homo sapiens		1	0
GRSF1	ENSG00000132463		G-rich RNA sequence binding factor 1 [Source:HGNC Symbol;Acc:4610]	Homo sapiens	RRMx3	16	6
GTF3A	ENSG00000122034		general transcription factor IIIA [Source:HGNC Symbol;Acc:4662]	Homo sapiens	Znf_C2H2x8	0	1
HDLBP	ENSG00000115677	HBP	high density lipoprotein binding protein [Source:HGNC Symbol;Acc:4857]	Homo sapiens	KHx14	0	3
HELZ	ENSG00000198265	KIAA0054; HUMORF5; DHRC	helicase with zinc finger [Source:HGNC Symbol;Acc:16878]	Homo sapiens	Znf_CCCHx1	0	2
HNRNPA0	ENSG00000177733	hnRNPA0	heterogeneous nuclear ribonucleoprotein A0 [Source:HGNC Symbol;Acc:5030]	Homo sapiens	RRMx2	0	1
HNRNPA1	ENSG00000135486	hnRNPA1; hnRNP-A1	heterogeneous nuclear ribonucleoprotein A1 [Source:HGNC Symbol;Acc:5031]	Homo sapiens	RRMx2	48	11
HNRNPA1L2	ENSG00000242466	LOC144983	heterogeneous nuclear ribonucleoprotein A1-like 2 [Source:HGNC Symbol;Acc:27067]	Homo sapiens	RRMx2	0	0
HNRNPA2B1	ENSG00000122566		heterogeneous nuclear ribonucleoprotein A2/B1 [Source:HGNC Symbol;Acc:5033]	Homo sapiens	RRMx2	7	7
HNRNPA3	ENSG00000170144		heterogeneous nuclear ribonucleoprotein A3 [Source:HGNC Symbol;Acc:24941]	Homo sapiens	RRMx2	1	11
HNRNPAB	ENSG00000197451	ABBP1; FLJ40338	heterogeneous nuclear ribonucleoprotein A/B [Source:HGNC Symbol;Acc:5034]	Homo sapiens	RRMx2	1	4
HNRNPC	ENSG00000092199	hnRNPC	heterogeneous nuclear ribonucleoprotein C (C1/C2) [Source:HGNC Symbol;Acc:5035]	Homo sapiens	RRMx1	7	5
HNRNPCL1	ENSG00000179172		heterogeneous nuclear ribonucleoprotein C-like 1 [Source:HGNC Symbol;Acc:29295]	Homo sapiens	RRMx1	0	4
HNRNPD	ENSG00000138668		"heterogeneous nuclear ribonucleoprotein D (AU-rich element RNA binding protein 1, 37kDa) [Source:HGNC Symbol;Acc:5036]"	Homo sapiens	RRMx2	20	4
HNRNPF	ENSG00000169813		heterogeneous nuclear ribonucleoprotein F [Source:HGNC Symbol;Acc:5039]	Homo sapiens	RRMx3; Znf_CHHCx1	7	10
HNRNPH1	ENSG00000169045	hnRNPH	heterogeneous nuclear ribonucleoprotein H1 (H) [Source:HGNC Symbol;Acc:5041]	Homo sapiens	RRMx3; Znf_CHHCx1	11	10
HNRNPH2	ENSG00000126945	hnRNPH'; FTP3; HNRPH'	heterogeneous nuclear ribonucleoprotein H2 (H') [Source:HGNC Symbol;Acc:5042]	Homo sapiens	RRMx3; Znf_CCCHx1	7	10
HNRNPH3	ENSG00000096746	2H9	heterogeneous nuclear ribonucleoprotein H3 (2H9) [Source:HGNC Symbol;Acc:5043]	Homo sapiens	RRMx2	4	10
HNRNPK	ENSG00000165119	CSBP; TUNP	microRNA 7-1 [Source:HGNC Symbol;Acc:31638]	Homo sapiens	KHx3	21	0
HNRNPL	ENSG00000104824		heterogeneous nuclear ribonucleoprotein L [Source:HGNC Symbol;Acc:5045]	Homo sapiens	RRMx2	8	5
HNRNPM	ENSG00000099783	HTGR1; HNRNPM4; HNRPM4	heterogeneous nuclear ribonucleoprotein M [Source:HGNC Symbol;Acc:5046]	Homo sapiens	RRMx3	0	5
HNRNPR	ENSG00000125944	hnRNP-R	heterogeneous nuclear ribonucleoprotein R [Source:HGNC Symbol;Acc:5047]	Homo sapiens	RRMx3	1	5
HNRPDL	ENSG00000152795	JKTBP; laAUF1	heterogeneous nuclear ribonucleoprotein D-like [Source:HGNC Symbol;Acc:5037]	Homo sapiens	RRMx2	0	4
HNRPLL	ENSG00000143889		heterogeneous nuclear ribonucleoprotein L-like [Source:HGNC Symbol;Acc:25127]	Homo sapiens	RRMx3	1	5
HTATSF1	ENSG00000102241	TAT-SF1	HIV-1 Tat specific factor 1 [Source:HGNC Symbol;Acc:5276]	Homo sapiens	RRMx2	0	1
IGF2BP1	ENSG00000159217	IMP-1; ZBP1	insulin-like growth factor 2 mRNA binding protein 1 [Source:HGNC Symbol;Acc:28866]	Homo sapiens	RRMx2; KHx4	8	7
IGF2BP2	ENSG00000073792	IMP-2	insulin-like growth factor 2 mRNA binding protein 2 [Source:HGNC Symbol;Acc:28867]	Homo sapiens	RRMx2; KHx4	2	7
IGF2BP3	ENSG00000136231	IMP-3; CT98	insulin-like growth factor 2 mRNA binding protein 3 [Source:HGNC Symbol;Acc:28868]	Homo sapiens	RRMx2; KHx4	1	7
IREB2	ENSG00000136381	ACO3; IRP2; IRP2AD; FLJ23381; IREB2	iron-responsive element binding protein 2 [Source:HGNC Symbol;Acc:6115]	Homo sapiens		10	1
KHDRBS1	ENSG00000121774	Sam68; p62; FLJ34027	"KH domain containing, RNA binding, signal transduction associated 1 [Source:HGNC Symbol;Acc:18116]"	Homo sapiens	KHx1	13	6
KHDRBS2	ENSG00000112232	SLM1; SLM-1; MGC26664	"KH domain containing, RNA binding, signal transduction associated 2 [Source:HGNC Symbol;Acc:18114]"	Homo sapiens	KHx1	2	6
KHDRBS3	ENSG00000131773	T-STAR; Etle; etoile; SALP; SLM2; SLM-2	"KH domain containing, RNA binding, signal transduction associated 3 [Source:HGNC Symbol;Acc:18117]"	Homo sapiens	KHx1	6	6
KHSRP	ENSG00000088247	KSRP; FBP2; FUBP2	KH-type splicing regulatory protein [Source:HGNC Symbol;Acc:6316]	Homo sapiens	KHx4	22	9
KIAA0020	ENSG00000080608	XTP5; PEN; PUF6	KIAA0020 [Source:HGNC Symbol;Acc:29676]	Homo sapiens	PUMx1	0	3
KIAA0430	ENSG00000166783	LKAP	KIAA0430 [Source:HGNC Symbol;Acc:29562]	Homo sapiens	RRMx2	0	1
KIN	ENSG00000151657		"KIN, antigenic determinant of recA protein homolog (mouse) [Source:HGNC Symbol;Acc:6327]"	Homo sapiens	Znf_C2H2x1	4	2
KRR1	ENSG00000111615	RIP-1	"KRR1, small subunit (SSU) processome component, homolog (yeast) [Source:HGNC Symbol;Acc:5176]"	Homo sapiens	KHx1	0	3
L3MBTL3	ENSG00000198945	KIAA1798	l(3)mbt-like 3 (Drosophila) [Source:HGNC Symbol;Acc:23035]	Homo sapiens	RRMx1; Lax1	0	1
LARP1	ENSG00000155506	LARP; KIAA0731; MGC19556	"La ribonucleoprotein domain family, member 1 [Source:HGNC Symbol;Acc:29531]"	Homo sapiens	Lax1	0	5
LARP1B	ENSG00000138709	FLJ10378; DKFZp434K245; DKFZp686E0316	"La ribonucleoprotein domain family, member 1B [Source:HGNC Symbol;Acc:24704]"	Homo sapiens	Lax1	0	4
LARP4	ENSG00000161813	PP13296	"La ribonucleoprotein domain family, member 4 [Source:HGNC Symbol;Acc:24320]"	Homo sapiens	Lax1; RRMx1	0	1
LARP4B	ENSG00000107929		"La ribonucleoprotein domain family, member 4B [Source:HGNC Symbol;Acc:28987]"	Homo sapiens	Lax1; RRMx1	0	1
LARP6	ENSG00000166173	acheron; FLJ11196	"La ribonucleoprotein domain family, member 6 [Source:HGNC Symbol;Acc:24012]"	Homo sapiens	Lax1	3	1
LARP7	ENSG00000174720	HDCMA18P; PIP7S; DKFZP564K112	"La ribonucleoprotein domain family, member 7 [Source:HGNC Symbol;Acc:24912]"	Homo sapiens	RRMx2; Lax1	1	2
LEMD3	ENSG00000174106	MAN1	LEM domain containing 3 [Source:HGNC Symbol;Acc:28887]	Homo sapiens	RRMx1	0	1
LENG9	ENSG00000182909		leukocyte receptor cluster (LRC) member 9 [Source:HGNC Symbol;Acc:16306]	Homo sapiens	Znf_CCCHx1	0	1
LGTN	ENSG00000143486		ligatin [Source:HGNC Symbol;Acc:6583]	Homo sapiens	PUAx1	0	3
LIN28	ENSG00000131914		lin-28 homolog (C. elegans) [Source:HGNC Symbol;Acc:15986]	Homo sapiens	CSDx1; Znf_CCHCx2	3	5
LIN28B	ENSG00000187772	FLJ16517; CSDD2	lin-28 homolog B (C. elegans) [Source:HGNC Symbol;Acc:32207]	Homo sapiens	CSDx1; Znf_CCHCx2	1	5
LSM1	ENSG00000175324	CASM; YJL124C	"LSM1 homolog, U6 small nuclear RNA associated (S. cerevisiae) [Source:HGNC Symbol;Acc:20472]"	Homo sapiens	LSmx1	0	3
LSM10	ENSG00000181817	MGC15749	"LSM10, U7 small nuclear RNA associated [Source:HGNC Symbol;Acc:17562]"	Homo sapiens	LSmx1	0	2
LSM11	ENSG00000155858	FLJ38273	"LSM11, U7 small nuclear RNA associated [Source:HGNC Symbol;Acc:30860]"	Homo sapiens	LSmx1	1	2
LSM3	ENSG00000170860	YLR438C; SMX4; USS2	"LSM3 homolog, U6 small nuclear RNA associated (S. cerevisiae) [Source:HGNC Symbol;Acc:17874]"	Homo sapiens	LSmx1	0	3
LSM4	ENSG00000130520	YER112W	"LSM4 homolog, U6 small nuclear RNA associated (S. cerevisiae) [Source:HGNC Symbol;Acc:17259]"	Homo sapiens	LSmx1	0	3
LSM5	ENSG00000106355	YER146W	"LSM5 homolog, U6 small nuclear RNA associated (S. cerevisiae) [Source:HGNC Symbol;Acc:17162]"	Homo sapiens	Lsmx1	0	2
LSM6	ENSG00000164167	YDR378C	"LSM6 homolog, U6 small nuclear RNA associated (S. cerevisiae) [Source:HGNC Symbol;Acc:17017]"	Homo sapiens	LSmx1	0	3
LSM7	ENSG00000130332	YNL147W	"LSM7 homolog, U6 small nuclear RNA associated (S. cerevisiae) [Source:HGNC Symbol;Acc:20470]"	Homo sapiens	LSmx1	0	3
LSMD1	ENSG00000183011	MGC14151; PFAAP2	LSM domain containing 1 [Source:HGNC Symbol;Acc:28212]	Homo sapiens	LSmx1	0	1
MATR3	ENSG00000015479	KIAA0723; MGC9105	matrin 3 [Source:HGNC Symbol;Acc:6912]	Homo sapiens	RRMx2	0	1
MBNL1	ENSG00000152601	KIAA0428; EXP42; EXP40; EXP35; EXP	muscleblind-like (Drosophila) [Source:HGNC Symbol;Acc:6923]	Homo sapiens	Znf_CCCHx4	6	7
MBNL2	ENSG00000139793	MBLL; MBLL39	muscleblind-like 2 (Drosophila) [Source:HGNC Symbol;Acc:16746]	Homo sapiens	Znf_CCCHx4	0	7
MBNL3	ENSG00000076770	CHCR; FLJ11316; MBLX39; MBXL	muscleblind-like 3 (Drosophila) [Source:HGNC Symbol;Acc:20564]	Homo sapiens	Znf_CCCHx4	0	7
MCM3AP	ENSG00000160294	Map80; KIAA0572; GANP	minichromosome maintenance complex component 3 associated protein [Source:HGNC Symbol;Acc:6946]	Homo sapiens	RRMx1	0	2
MCTS1	ENSG00000232119	MCT-1	malignant T cell amplified sequence 1 [Source:HGNC Symbol;Acc:23357]	Homo sapiens	PUAx1	0	0
MEX3A	ENSG00000203759		mex-3 homolog A (C. elegans) [Source:HGNC Symbol;Acc:33482]	Homo sapiens	KHx2; Znf_CCCHx1	1	5
MEX3B	ENSG00000183496	DKFZp434J0617; RNF195	mex-3 homolog B (C. elegans) [Source:HGNC Symbol;Acc:25297]	Homo sapiens	KHx2; Znf_RINGx1	1	5
MEX3C	ENSG00000176624	FLJ38871; RNF194	mex-3 homolog C (C. elegans) [Source:HGNC Symbol;Acc:28040]	Homo sapiens	KHx2; Znf_RINGx1	1	5
MEX3D	ENSG00000181588	Tino; KIAA2031; OK/SW-cl.4; RNF193	mex-3 homolog D (C. elegans) [Source:HGNC Symbol;Acc:16734]	Homo sapiens	KHx2; Znf_RINGx1	1	5
MIR1236	ENSG00000204356		microRNA 1236 [Source:HGNC Symbol;Acc:33925]	Homo sapiens	RRMx1	5	3
MKI67IP	ENSG00000155438	Nopp34; NIFK	MKI67 (FHA domain) interacting nucleolar phosphoprotein [Source:HGNC Symbol;Acc:17838]	Homo sapiens	RRMx1	0	3
MKRN1	ENSG00000133606	RNF61	makorin ring finger protein 1 [Source:HGNC Symbol;Acc:7112]	Homo sapiens	Znf_CCCHx4; Znf_RINGx1	0	8
MKRN2	ENSG00000075975	RNF62; HSPC070	makorin ring finger protein 2 [Source:HGNC Symbol;Acc:7113]	Homo sapiens	Znf_CCCHx4; Znf_RINGx1	0	8
MKRN3	ENSG00000179455	RNF63; ZFP127; MGC88288	makorin ring finger protein 3 [Source:HGNC Symbol;Acc:7114]	Homo sapiens	Znf_CCCHx3; Znf_RINGx1	0	8
MKRNP5	ENSG00000238222		makorin ring finger protein pseudogene 5 [Source:HGNC Symbol;Acc:7115]	Homo sapiens		0	0
MOV10L1	ENSG00000073146	DJ402G11.8; DKFZp434B0717	"Mov10l1, Moloney leukemia virus 10-like 1, homolog (mouse) [Source:HGNC Symbol;Acc:7201]"	Homo sapiens	CSDx1	0	0
MSI1	ENSG00000135097		musashi homolog 1 (Drosophila) [Source:HGNC Symbol;Acc:7330]	Homo sapiens	RRMx2	1	3
MSI2	ENSG00000153944		musashi homolog 2 (Drosophila) [Source:HGNC Symbol;Acc:18585]	Homo sapiens	RRMx2	0	3
MTHFSD	ENSG00000103248	FLJ12998	methenyltetrahydrofolate synthetase domain containing [Source:HGNC Symbol;Acc:25778]	Homo sapiens	RRMx1	0	1
MYEF2	ENSG00000104177	MEF-2; FLJ11213; KIAA1341; HsT18564	myelin expression factor 2 [Source:HGNC Symbol;Acc:17940]	Homo sapiens	RRMx3	0	5
NAA38	ENSG00000128534	YJR022W	"N(alpha)-acetyltransferase 38, NatC auxiliary subunit [Source:HGNC Symbol;Acc:20471]"	Homo sapiens	LSmx1	0	3
NCBP2L	ENSG00000170935		nuclear cap binding protein subunit 2-like [Source:HGNC Symbol;Acc:31795]	Homo sapiens	RRMx1	0	0
NCL	ENSG00000115053	C23	nucleolin [Source:HGNC Symbol;Acc:7667]	Homo sapiens	RRMx4	38	1
NIP7	ENSG00000132603	CGI-37; FLJ10296; HSPC031; KD93	nuclear import 7 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:24328]	Homo sapiens	PUAx1	0	3
NOL8	ENSG00000198000	FLJ20736; Nop132	nucleolar protein 8 [Source:HGNC Symbol;Acc:23387]	Homo sapiens	RRMx1	0	1
