ensg	name	loc	tss_loc	strand	CD
ENSG00000167286	CD3D	chr11:118209669-118213459	chr11:118213459-118213459	-1	CD3d
ENSG00000117091	CD48	chr1:160648536-160681641	chr1:160681641-160681641	-1	CD48
ENSG00000158477	CD1A	chr1:158223927-158228059	chr1:158223927-158223927	1	CD1a
ENSG00000158473	CD1D	chr1:158149737-158154686	chr1:158149737-158149737	1	CD1d
ENSG00000134352	IL6ST	chr5:55230923-55290821	chr5:55290821-55290821	-1	CD130
ENSG00000162692	VCAM1	chr1:101185298-101204601	chr1:101185298-101185298	1	CD106
ENSG00000081237	PTPRC	chr1:198607801-198726545	chr1:198607801-198607801	1	CD45
ENSG00000172270	BSG	chr19:571297-583493	chr19:571297-571297	1	CD147
ENSG00000157404	KIT	chr4:55524085-55606881	chr4:55524085-55524085	1	CD117
ENSG00000151694	ADAM17	chr2:9628615-9695921	chr2:9695921-9695921	-1	CD156b
ENSG00000140678	ITGAX	chr16:31366455-31394318	chr16:31366455-31366455	1	CD11c
ENSG00000049249	TNFRSF9	chr1:7979907-8000926	chr1:8000926-8000926	-1	CD137
ENSG00000171867	PRNP	chr20:4666882-4682236	chr20:4666882-4666882	1	CD230
ENSG00000115604	IL18R1	chr2:102927989-103015218	chr2:102927989-102927989	1	CD218a
ENSG00000115607	IL18RAP	chr2:103035149-103069025	chr2:103035149-103035149	1	CD218b
ENSG00000187764	SEMA4D	chr9:91975702-92113045	chr9:92113045-92113045	-1	CD100
ENSG00000117525	F3	chr1:94994781-95007356	chr1:95007356-95007356	-1	CD142
ENSG00000134853	PDGFRA	chr4:55095264-55164414	chr4:55095264-55095264	1	CD140a
ENSG00000079385	CEACAM1	chr19:43011456-43065386	chr19:43065386-43065386	-1	CD66a
ENSG00000153563	CD8A	chr2:87011729-87035519	chr2:87035519-87035519	-1	CD8a
ENSG00000135535	CD164	chr6:109687717-109703762	chr6:109703762-109703762	-1	CD164
ENSG00000138696	BMPR1B	chr4:95679119-96079599	chr4:95679119-95679119	1	CDw293
ENSG00000039068	CDH1	chr16:68771128-68869451	chr16:68771128-68771128	1	CD324
ENSG00000186810	CXCR3	chrX:70835766-70838367	chrX:70838367-70838367	-1	CD183
ENSG00000173366	TLR9	chr3:52255097-52265206	chr3:52265206-52265206	-1	CD289
ENSG00000169442	CD52	chr1:26644448-26647014	chr1:26644448-26644448	1	CD52
ENSG00000186818	LILRB4	chr19:55155340-55181810	chr19:55155340-55155340	1	CD85K
ENSG00000129450	SIGLEC9	chr19:51628165-51639908	chr19:51628165-51628165	1	CD329
ENSG00000156298	TSPAN7	chrX:38420623-38548169	chrX:38420623-38420623	1	CD231
ENSG00000243646	IL10RB	chr21:34638663-34669539	chr21:34638663-34638663	1	CDw210b
ENSG00000077238	IL4R	chr16:27324989-27376099	chr16:27324989-27324989	1	CD124
ENSG00000120949	TNFRSF8	chr1:12123434-12204264	chr1:12123434-12123434	1	CD30
ENSG00000178732	GP5	chr3:194115550-194119995	chr3:194119995-194119995	-1	CD42d
ENSG00000138448	ITGAV	chr2:187454792-187545628	chr2:187454792-187454792	1	CD51
ENSG00000196209	SIRPB2	chr20:1451386-1472233	chr20:1472233-1472233	-1	CD172g
ENSG00000270408	JAG1	chr20:10625847-10627014	chr20:10627014-10627014	-1	CD339
ENSG00000135404	CD63	chr12:56119107-56123491	chr12:56123491-56123491	-1	CD63
ENSG00000264257	KIR3DP1	chr19:55297807-55301770	chr19:55297807-55297807	1	CD158C
ENSG00000179776	CDH5	chr16:66400533-66438686	chr16:66400533-66400533	1	CD144
ENSG00000006327	TNFRSF12A	chr16:3068446-3072384	chr16:3068446-3068446	1	CD266
ENSG00000112077	RHAG	chr6:49572871-49604552	chr6:49604552-49604552	-1	CD241
ENSG00000011422	PLAUR	chr19:44150247-44174699	chr19:44174699-44174699	-1	CD87
ENSG00000073008	PVR	chr19:45147098-45166850	chr19:45147098-45147098	1	CD155
ENSG00000137462	TLR2	chr4:154622652-154626851	chr4:154622652-154622652	1	CD282
ENSG00000106991	ENG	chr9:130577291-130617035	chr9:130617035-130617035	-1	CD105
ENSG00000177455	CD19	chr16:28943260-28950667	chr16:28943260-28943260	1	CD19
ENSG00000154096	THY1	chr11:119288090-119295695	chr11:119295695-119295695	-1	CD90
ENSG00000129744	ART1	chr11:3666358-3685646	chr11:3666358-3666358	1	CD296
ENSG00000110324	IL10RA	chr11:117857063-117872196	chr11:117857063-117857063	1	CDw210a
ENSG00000090659	CD209	chr19:7804879-7812464	chr19:7812464-7812464	-1	CD209
ENSG00000163823	CCR1	chr3:46243200-46249887	chr3:46249887-46249887	-1	CD191
ENSG00000122224	LY9	chr1:160765896-160798045	chr1:160765896-160765896	1	CD229
ENSG00000122223	CD244	chr1:160799950-160832692	chr1:160832692-160832692	-1	CD244
ENSG00000119535	CSF3R	chr1:36931644-36948879	chr1:36948879-36948879	-1	CD114
ENSG00000203747	FCGR3A	chr1:161511549-161600917	chr1:161600917-161600917	-1	CD16a
ENSG00000160712	IL6R	chr1:154377669-154441926	chr1:154377669-154377669	1	CD126
ENSG00000026508	CD44	chr11:35160417-35253949	chr11:35160417-35160417	1	CD44
ENSG00000102524	TNFSF13B	chr13:108903588-108960832	chr13:108903588-108903588	1	CD257
ENSG00000162729	IGSF8	chr1:160061130-160068733	chr1:160068733-160068733	-1	CD316
ENSG00000270149	F11R	chr1:160967747-161008752	chr1:161008752-161008752	-1	CD321
ENSG00000105383	CD33	chr19:51728320-51747115	chr19:51728320-51728320	1	CD33
ENSG00000105388	CEACAM5	chr19:42212504-42233718	chr19:42212504-42212504	1	CD66e
ENSG00000174130	TLR6	chr4:38825336-38858438	chr4:38858438-38858438	-1	CD286
ENSG00000110848	CD69	chr12:9905082-9913497	chr12:9913497-9913497	-1	CD69
ENSG00000105369	CD79A	chr19:42381190-42385439	chr19:42381190-42381190	1	CD79a
ENSG00000091409	ITGA6	chr2:173292082-173371181	chr2:173292082-173292082	1	CD49f
ENSG00000134247	PTGFRN	chr1:117452679-117532980	chr1:117452679-117452679	1	CD315
ENSG00000156535	CD109	chr6:74405508-74538040	chr6:74405508-74405508	1	CD109
ENSG00000170180	GYPA	chr4:145030457-145061904	chr4:145061904-145061904	-1	CD235a
ENSG00000109743	BST1	chr4:15704573-15739936	chr4:15704573-15704573	1	CD157
ENSG00000143119	CD53	chr1:111415775-111442550	chr1:111415775-111415775	1	CD53
ENSG00000105371	ICAM4	chr19:10397643-10399198	chr19:10397643-10397643	1	CD242
ENSG00000138623	SEMA7A	chr15:74701630-74726808	chr15:74726808-74726808	-1	CD108
ENSG00000007908	SELE	chr1:169691781-169703220	chr1:169703220-169703220	-1	CD62E
ENSG00000104894	CD37	chr19:49838428-49846592	chr19:49838428-49838428	1	CD37
ENSG00000010278	CD9	chr12:6308881-6347425	chr12:6308881-6308881	1	CD9
ENSG00000123496	IL13RA2	chrX:114238538-114254540	chrX:114254540-114254540	-1	CD213a2
ENSG00000125735	TNFSF14	chr19:6663148-6670599	chr19:6670599-6670599	-1	CD258
ENSG00000110448	CD5	chr11:60869867-60895324	chr11:60869867-60869867	1	CD5
ENSG00000213809	KLRK1	chr12:10524952-10544473	chr12:10544473-10544473	-1	CD314
ENSG00000066468	FGFR2	chr10:123237848-123357972	chr10:123357972-123357972	-1	CD332
ENSG00000167618	LAIR2	chr19:55009100-55021897	chr19:55009100-55009100	1	CD306
ENSG00000101307	SIRPB1	chr20:1544167-1600707	chr20:1600707-1600707	-1	CD172b
ENSG00000167613	LAIR1	chr19:54865362-54882165	chr19:54882165-54882165	-1	CD305
ENSG00000113721	PDGFRB	chr5:149493400-149535435	chr5:149535435-149535435	-1	CD140b
ENSG00000159640	ACE	chr17:61554422-61599205	chr17:61554422-61554422	1	CD143
ENSG00000196776	CD47	chr3:107762145-107809872	chr3:107809872-107809872	-1	CD47
ENSG00000002586	CD99	chrX:2609220-2659350	chrX:2609220-2609220	1	CD99
ENSG00000173585	CCR9	chr3:45927996-45944667	chr3:45927996-45927996	1	CDw199
ENSG00000026950	BTN3A1	chr6:26402465-26415444	chr6:26402465-26402465	1	CD277
ENSG00000067182	TNFRSF1A	chr12:6437923-6451280	chr12:6451280-6451280	-1	CD120a
ENSG00000150337	FCGR1A	chr1:149754227-149764074	chr1:149754227-149754227	1	CD64a
ENSG00000204577	LILRB3	chr19:54720147-54746602	chr19:54746602-54746602	-1	CD85A
ENSG00000077782	FGFR1	chr8:38268656-38326352	chr8:38326352-38326352	-1	CD331
ENSG00000101017	CD40	chr20:44746911-44758502	chr20:44746911-44746911	1	CD40
ENSG00000204475	NCR3	chr6:31556672-31560762	chr6:31560762-31560762	-1	CD337
ENSG00000112149	CD83	chr6:14117872-14137149	chr6:14117872-14117872	1	CD83
ENSG00000160791	CCR5	chr3:46411633-46417697	chr3:46411633-46411633	1	CD195
ENSG00000240403	KIR3DL2	chr19:55361898-55378662	chr19:55361898-55361898	1	CD158K
ENSG00000158769	F11R	chr1:160965001-160991138	chr1:160991138-160991138	-1	CD321
ENSG00000134061	CD180	chr5:66478103-66492627	chr5:66492627-66492627	-1	CD180
ENSG00000105609	LILRB5	chr19:54754263-54761164	chr19:54761164-54761164	-1	CD85C
ENSG00000130303	BST2	chr19:17513748-17516457	chr19:17516457-17516457	-1	CD317
ENSG00000096264	NCR2	chr6:41303393-41318625	chr6:41303393-41303393	1	CD336
ENSG00000019582	CD74	chr5:149781200-149792492	chr5:149792492-149792492	-1	CD74
ENSG00000132514	CLEC10A	chr17:6977856-6983626	chr17:6983626-6983626	-1	CD301
ENSG00000120659	TNFSF11	chr13:43136872-43182149	chr13:43136872-43136872	1	CD254
ENSG00000188404	SELL	chr1:169659808-169680839	chr1:169680839-169680839	-1	CD62L
ENSG00000174175	SELP	chr1:169558087-169599431	chr1:169599431-169599431	-1	CD62P
ENSG00000102245	CD40LG	chrX:135730352-135742549	chrX:135730352-135730352	1	CD154
ENSG00000105501	SIGLEC5	chr19:52114781-52150151	chr19:52150151-52150151	-1	CD170
ENSG00000135218	CD36	chr7:79998891-80308593	chr7:79998891-79998891	1	CD36
ENSG00000163599	CTLA4	chr2:204732509-204738683	chr2:204732509-204732509	1	CD152
ENSG00000264813	ACE	chr17:61562184-61599209	chr17:61562184-61562184	1	CD143
ENSG00000048462	TNFRSF17	chr16:12058964-12061925	chr16:12058964-12058964	1	CD269
ENSG00000140443	IGF1R	chr15:99192200-99507759	chr15:99192200-99192200	1	CD221
ENSG00000120156	TEK	chr9:27109139-27230173	chr9:27109139-27109139	1	CD202b
ENSG00000250361	GYPB	chr4:144917257-145061844	chr4:145061844-145061844	-1	CD235b
ENSG00000197646	PDCD1LG2	chr9:5510545-5571282	chr9:5510545-5510545	1	CD273
ENSG00000026103	FAS	chr10:90750414-90775542	chr10:90750414-90750414	1	CD95
ENSG00000110400	PVRL1	chr11:119494120-119599794	chr11:119599794-119599794	-1	CD111
ENSG00000116031	CD207	chr2:71057347-71062952	chr2:71062952-71062952	-1	CD207
ENSG00000186827	TNFRSF4	chr1:1146706-1149518	chr1:1149518-1149518	-1	CD134
ENSG00000115884	SDC1	chr2:20400558-20425194	chr2:20425194-20425194	-1	CD138
ENSG00000217792	KIR3DL2	chrGL000209.1:147649-156325	chrGL000209.1:147649-147649	1	CD158K
ENSG00000213088	DARC	chr1:159173097-159176290	chr1:159173097-159173097	1	CD234
ENSG00000179934	CCR8	chr3:39371197-39375171	chr3:39371197-39371197	1	CDw198
ENSG00000197635	DPP4	chr2:162848751-162931052	chr2:162931052-162931052	-1	CD26
ENSG00000168995	SIGLEC7	chr19:51645556-51656783	chr19:51645556-51645556	1	CD328
ENSG00000198178	CLEC4C	chr12:7882011-7904201	chr12:7904201-7904201	-1	CD303
ENSG00000005884	ITGA3	chr17:48133332-48167845	chr17:48133332-48133332	1	CD49c
ENSG00000013725	CD6	chr11:60739115-60787849	chr11:60739115-60739115	1	CD6
ENSG00000111339	ART4	chr12:14978503-14996429	chr12:14996429-14996429	-1	CD297
ENSG00000174125	TLR1	chr4:38792298-38858438	chr4:38858438-38858438	-1	CD281
ENSG00000125810	CD93	chr20:23059986-23066977	chr20:23066977-23066977	-1	CD93
ENSG00000154269	ENPP3	chr6:131949582-132068553	chr6:131949582-131949582	1	CD203c
ENSG00000134539	KLRD1	chr12:10378657-10469850	chr12:10378657-10378657	1	CD94
ENSG00000128052	KDR	chr4:55944644-55991756	chr4:55991756-55991756	-1	CD309
ENSG00000028137	TNFRSF1B	chr1:12227060-12269285	chr1:12227060-12227060	1	CD120b
ENSG00000141655	TNFRSF11A	chr18:59992520-60058516	chr18:59992520-59992520	1	CD265
ENSG00000121594	CD80	chr3:119243140-119278449	chr3:119278449-119278449	-1	CD80
ENSG00000096996	IL12RB1	chr19:18169805-18209759	chr19:18209759-18209759	-1	CD212
ENSG00000105492	SIGLEC6	chr19:52022779-52035110	chr19:52035110-52035110	-1	CD327
ENSG00000150093	ITGB1	chr10:33189247-33294720	chr10:33294720-33294720	-1	CD29
ENSG00000163814	CDCP1	chr3:45123770-45187914	chr3:45187914-45187914	-1	CD318
ENSG00000154721	JAM2	chr21:27011584-27089874	chr21:27011584-27011584	1	CD322
ENSG00000156738	MS4A1	chr11:60223225-60238233	chr11:60223225-60223225	1	CD20
ENSG00000085063	CD59	chr11:33719807-33757991	chr11:33757991-33757991	-1	CD59
ENSG00000135318	NT5E	chr6:86159809-86205500	chr6:86159809-86159809	1	CD73
ENSG00000153283	CD96	chr3:111011566-111384597	chr3:111011566-111011566	1	CD96
ENSG00000085563	ABCB1	chr7:87133175-87342611	chr7:87342611-87342611	-1	CD243
ENSG00000027697	IFNGR1	chr6:137518621-137540586	chr6:137540586-137540586	-1	CD119
ENSG00000123146	CD97	chr19:14491313-14519537	chr19:14491313-14491313	1	CD97
ENSG00000213949	ITGA1	chr5:52083730-52255040	chr5:52083730-52083730	1	CD49a
ENSG00000103855	CD276	chr15:73976307-74006859	chr15:73976307-73976307	1	CD276
ENSG00000120586	MRC1	chr10:18098352-18200091	chr10:18098352-18098352	1	CD206
ENSG00000004939	SLC4A1	chr17:42325753-42345509	chr17:42345509-42345509	-1	CD233
ENSG00000196549	MME	chr3:154741913-154901497	chr3:154741913-154741913	1	CD10
ENSG00000120217	CD274	chr9:5450503-5470566	chr9:5450503-5450503	1	CD274
ENSG00000086548	CEACAM6	chr19:42254885-42276113	chr19:42254885-42254885	1	CD66c
ENSG00000091181	IL5RA	chr3:3111233-3168297	chr3:3168297-3168297	-1	CD125
ENSG00000150637	CD226	chr18:67498394-67629039	chr18:67629039-67629039	-1	CD226
ENSG00000268500	SIGLEC5	chr19:52115344-52150142	chr19:52150142-52150142	-1	CD170
ENSG00000104972	LILRB1	chr19:55085346-55148979	chr19:55085346-55085346	1	CD85J
ENSG00000104974	LILRA1	chr19:55105047-55113555	chr19:55105047-55105047	1	CD85I
ENSG00000215764	KIR2DL2	chrGL000209.1:7891-96246	chrGL000209.1:7891-7891	1	CD158B1
ENSG00000183813	CCR4	chr3:32993066-32997841	chr3:32993066-32993066	1	CD194
ENSG00000115232	ITGA4	chr2:182321929-182400914	chr2:182321929-182321929	1	CD49d
ENSG00000259753	ITGB3	chr17:45331263-45421658	chr17:45331263-45331263	1	CD61
ENSG00000136869	TLR4	chr9:120466610-120479149	chr9:120466610-120466610	1	CD284
ENSG00000240505	TNFRSF13B	chr17:16832849-16875432	chr17:16875432-16875432	-1	CD267
ENSG00000174807	CD248	chr11:66081958-66084515	chr11:66084515-66084515	-1	CD248
ENSG00000174804	FZD4	chr11:86656721-86666433	chr11:86666433-86666433	-1	CD344
ENSG00000132470	ITGB4	chr17:73717408-73753899	chr17:73717408-73717408	1	CD104
ENSG00000121966	CXCR4	chr2:136871919-136875735	chr2:136875735-136875735	-1	CD184
ENSG00000156886	ITGAD	chr16:31404633-31437826	chr16:31404633-31404633	1	CD11d
ENSG00000172215	CXCR6	chr3:45982425-45989845	chr3:45982425-45982425	1	CD186
ENSG00000171124	FUT3	chr19:5842899-5851485	chr19:5851485-5851485	-1	CD174
ENSG00000110876	SELPLG	chr12:109015686-109027735	chr12:109027735-109027735	-1	CD162
ENSG00000131724	IL13RA1	chrX:117861535-117928502	chrX:117861535-117861535	1	CD213a1
ENSG00000124469	CEACAM8	chr19:43084393-43099207	chr19:43099207-43099207	-1	CD66b
ENSG00000189430	NCR1	chr19:55417508-55427508	chr19:55417508-55417508	1	CD335
ENSG00000198223	CSF2RA	chrX:1387693-1429274	chrX:1387693-1387693	1	CD116
ENSG00000120889	TNFRSF10B	chr8:22877646-22926692	chr8:22926692-22926692	-1	CD262
ENSG00000174059	CD34	chr1:208057594-208084747	chr1:208084747-208084747	-1	CD34
ENSG00000101000	PROCR	chr20:33759876-33765165	chr20:33759876-33759876	1	CD201
ENSG00000076706	MCAM	chr11:119179241-119192231	chr11:119192231-119192231	-1	CD146
ENSG00000116824	CD2	chr1:117297007-117311850	chr1:117297007-117297007	1	CD2
ENSG00000137845	ADAM10	chr15:58887403-59042177	chr15:59042177-59042177	-1	CD156C
ENSG00000198910	L1CAM	chrX:153126969-153174677	chrX:153174677-153174677	-1	CD171
ENSG00000185291	IL3RA	chrX:1455509-1501578	chrX:1455509-1455509	1	CD123
ENSG00000159958	TNFRSF13C	chr22:42321045-42322822	chr22:42322822-42322822	-1	CD268
ENSG00000183625	CCR3	chr3:46205096-46308197	chr3:46205096-46205096	1	CD193
ENSG00000118777	ABCG2	chr4:89011416-89152474	chr4:89152474-89152474	-1	CD338
ENSG00000091972	CD200	chr3:112051194-112081659	chr3:112051194-112051194	1	CD200
ENSG00000170017	ALCAM	chr3:105085753-105295744	chr3:105085753-105085753	1	CD166
ENSG00000185896	LAMP1	chr13:113951556-113977987	chr13:113951556-113951556	1	CD107a
ENSG00000173762	CD7	chr17:80272744-80275478	chr17:80275478-80275478	-1	CD7
ENSG00000188672	RHCE	chr1:25688740-25756683	chr1:25756683-25756683	-1	CD240CE
ENSG00000104938	CLEC4M	chr19:7828035-7834491	chr19:7828035-7828035	1	CD299
ENSG00000221957	KIR2DS4	chr19:55344131-55360024	chr19:55344131-55344131	1	CD158I
ENSG00000161638	ITGA5	chr12:54789045-54813244	chr12:54813244-54813244	-1	CD49e
ENSG00000110651	CD81	chr11:2397407-2418649	chr11:2397407-2397407	1	CD81
ENSG00000164078	MST1R	chr3:49924435-49941299	chr3:49941299-49941299	-1	CD136
ENSG00000128322	IGLL1	chr22:23915312-23922495	chr22:23922495-23922495	-1	CD179b
ENSG00000188389	PDCD1	chr2:242792033-242801060	chr2:242801060-242801060	-1	CD279
ENSG00000164171	ITGA2	chr5:52285156-52390609	chr5:52285156-52285156	1	CD49b
ENSG00000083457	ITGAE	chr17:3617922-3704537	chr17:3704537-3704537	-1	CD103
ENSG00000099250	NRP1	chr10:33466420-33625190	chr10:33625190-33625190	-1	CD304
ENSG00000117090	SLAMF1	chr1:160577890-160617085	chr1:160617085-160617085	-1	CD150
ENSG00000231924	PSG1	chr19:43370616-43383974	chr19:43383974-43383974	-1	CD66f
ENSG00000162747	FCGR3B	chr1:161592986-161601753	chr1:161601753-161601753	-1	CD16b
ENSG00000170866	LILRA3	chr19:54799854-54809952	chr19:54809952-54809952	-1	CD85E
ENSG00000111432	FZD10	chr12:130647004-130650285	chr12:130647004-130647004	1	CD350
ENSG00000151651	ADAM8	chr10:135075907-135090372	chr10:135090372-135090372	-1	CD156a
ENSG00000136040	PLXNC1	chr12:94542499-94701451	chr12:94542499-94542499	1	CD232
ENSG00000069849	ATP1B3	chr3:141594966-141645356	chr3:141594966-141594966	1	CD298
ENSG00000113594	LIFR	chr5:38475065-38608456	chr5:38608456-38608456	-1	CD118
ENSG00000239961	LILRA4	chr19:54844456-54850421	chr19:54850421-54850421	-1	CD85G
ENSG00000187010	RHD	chr1:25598884-25656936	chr1:25598884-25598884	1	CD240D
ENSG00000129226	CD68	chr17:7482785-7485429	chr17:7482785-7482785	1	CD68
ENSG00000182578	CSF1R	chr5:149432854-149492935	chr5:149492935-149492935	-1	CD115
ENSG00000173535	TNFRSF10C	chr8:22941868-22974950	chr8:22941868-22941868	1	CD263
ENSG00000064300	NGFR	chr17:47572655-47592379	chr17:47572655-47572655	1	CD271
ENSG00000090339	ICAM1	chr19:10381511-10397291	chr19:10381511-10381511	1	CD54
ENSG00000005893	LAMP2	chrX:119561682-119603220	chrX:119603220-119603220	-1	CD107b
ENSG00000173530	TNFRSF10D	chr8:22993101-23021543	chr8:23021543-23021543	-1	CD264
ENSG00000143297	FCRL5	chr1:157483167-157522310	chr1:157522310-157522310	-1	CD307
ENSG00000204580	DDR1	chr6:30844198-30867933	chr6:30844198-30844198	1	CD167a
ENSG00000131042	LILRB2	chr19:54777675-54785039	chr19:54785039-54785039	-1	CD85D
ENSG00000167775	CD320	chr19:8367011-8373240	chr19:8373240-8373240	-1	CD320
ENSG00000134545	KLRC1	chr12:10594863-10607284	chr12:10607284-10607284	-1	CD159a
ENSG00000070214	SLC44A1	chr9:108006903-108201452	chr9:108006903-108006903	1	CD92
ENSG00000143226	FCGR2A	chr1:161475220-161493803	chr1:161475220-161475220	1	CD32a
ENSG00000177575	CD163	chr12:7623409-7656489	chr12:7656489-7656489	-1	CD163
ENSG00000178562	CD28	chr2:204571198-204602557	chr2:204571198-204571198	1	CD28
ENSG00000239732	TLR9	chr3:52255096-52273183	chr3:52273183-52273183	-1	CD289
ENSG00000007062	PROM1	chr4:15964699-16086001	chr4:16086001-16086001	-1	CD133
ENSG00000198821	CD247	chr1:167399877-167487847	chr1:167487847-167487847	-1	CD247
ENSG00000114013	CD86	chr3:121774213-121839983	chr3:121774213-121774213	1	CD86
ENSG00000100031	GGT1	chr22:24979718-25024972	chr22:24979718-24979718	1	CD224
ENSG00000122025	FLT3	chr13:28577411-28674729	chr13:28674729-28674729	-1	CD135
ENSG00000010610	CD4	chr12:6896024-6929974	chr12:6896024-6896024	1	CD4
ENSG00000012124	CD22	chr19:35810164-35838258	chr19:35810164-35810164	1	CD22
ENSG00000116678	LEPR	chr1:65886248-66107242	chr1:65886248-65886248	1	CD295
ENSG00000101916	TLR8	chrX:12924739-12941288	chrX:12924739-12924739	1	CD288
ENSG00000149177	PTPRJ	chr11:48002113-48189670	chr11:48002113-48002113	1	CD148
ENSG00000121858	TNFSF10	chr3:172223298-172241297	chr3:172241297-172241297	-1	CD253
ENSG00000108622	ICAM2	chr17:62079954-62097994	chr17:62097994-62097994	-1	CD102
ENSG00000185245	GP1BA	chr17:4835592-4838325	chr17:4835592-4835592	1	CD42b
ENSG00000197471	SPN	chr16:29674300-29682187	chr16:29674300-29674300	1	CD43
ENSG00000117586	TNFSF4	chr1:173152873-173176452	chr1:173176452-173176452	-1	CD252
ENSG00000259207	ITGB3	chr17:45331212-45421658	chr17:45331212-45331212	1	CD61
ENSG00000089692	LAG3	chr12:6881678-6887621	chr12:6881678-6881678	1	CD223
ENSG00000163975	MFI2	chr3:196715492-196756687	chr3:196756687-196756687	-1	CD228
ENSG00000147168	IL2RG	chrX:70327254-70331958	chrX:70331958-70331958	-1	CD132
ENSG00000072274	TFRC	chr3:195754054-195809060	chr3:195809060-195809060	-1	CD71
ENSG00000117400	MPL	chr1:43803478-43818443	chr1:43803478-43803478	1	CD110
ENSG00000104689	TNFRSF10A	chr8:23047965-23082639	chr8:23082639-23082639	-1	CD261
ENSG00000167851	CD300A	chr17:72462555-72480933	chr17:72462555-72462555	1	CD300a
ENSG00000167850	CD300C	chr17:72537247-72542282	chr17:72542282-72542282	-1	CD300C
ENSG00000160255	ITGB2	chr21:46305868-46351904	chr21:46351904-46351904	-1	CD18
ENSG00000166825	ANPEP	chr15:90328120-90358633	chr15:90358633-90358633	-1	CD13
ENSG00000066294	CD84	chr1:160510885-160549306	chr1:160549306-160549306	-1	CD84
ENSG00000072694	FCGR2B	chr1:161551101-161648444	chr1:161551101-161551101	1	CD32b
ENSG00000170956	CEACAM3	chr19:42300369-42315591	chr19:42300369-42300369	1	CD66d
ENSG00000004468	CD38	chr4:15779898-15851069	chr4:15779898-15779898	1	CD38
ENSG00000161955	TNFSF13	chr17:7461609-7464925	chr17:7461609-7461609	1	CD256
ENSG00000072571	HMMR	chr5:162887175-162918947	chr5:162887175-162887175	1	CD168
ENSG00000007312	CD79B	chr17:62006100-62009714	chr17:62009714-62009714	-1	CD79b
ENSG00000170558	CDH2	chr18:25530930-25757410	chr18:25757410-25757410	-1	CD325
ENSG00000115590	IL1R2	chr2:102608306-102645006	chr2:102608306-102608306	1	CD121b
ENSG00000115594	IL1R1	chr2:102681004-102796334	chr2:102681004-102681004	1	CD121a
ENSG00000117322	CR2	chr1:207627575-207663240	chr1:207627575-207627575	1	CD21
ENSG00000005844	ITGAL	chr16:30483979-30534506	chr16:30483979-30483979	1	CD11a
ENSG00000112486	CCR6	chr6:167525295-167553184	chr6:167525295-167525295	1	CD196
ENSG00000169896	ITGAM	chr16:31271311-31344213	chr16:31271311-31271311	1	CD11b
ENSG00000167633	KIR3DL1	chr19:55235969-55378448	chr19:55235969-55235969	1	CD158E1
ENSG00000134460	IL2RA	chr10:6052652-6104288	chr10:6104288-6104288	-1	CD25
ENSG00000005961	ITGA2B	chr17:42449548-42466873	chr17:42466873-42466873	-1	CD41
ENSG00000160223	ICOSLG	chr21:45642874-45660849	chr21:45660849-45660849	-1	CD275
ENSG00000171094	ALK	chr2:29415640-30144432	chr2:30144432-30144432	-1	CD246
ENSG00000160654	CD3G	chr11:118215059-118225876	chr11:118215059-118215059	1	CD3g
ENSG00000138185	ENTPD1	chr10:97471536-97637023	chr10:97471536-97471536	1	CD39
