ensg	name	CD	enst	loc	tss_loc	strand	type	gc
ENSMUSG00000005672	Kit	CD117	ENSMUST00000005815	chr5:75574955-75656722	chr5:75574955-75574955	1	protein_coding	48.216340621403916
ENSMUSG00000006345	Ggt1	CD224	ENSMUST00000006508	chr10:75573448-75586182	chr10:75573448-75573448	1	protein_coding	56.299030918320256
ENSMUSG00000010095	Slc3a2	CD98	ENSMUST00000010239	chr19:8707617-8713879	chr19:8713879-8713879	-1	protein_coding	55.57998900494777
ENSMUSG00000005824	Tnfsf14	CD258	ENSMUST00000005976	chr17:57189492-57194177	chr17:57194177-57194177	-1	protein_coding	55.495397942609635
ENSMUSG00000004707	Ly9	CD229	ENSMUST00000004827	chr1:171588632-171607358	chr1:171607358-171607358	-1	protein_coding	49.904671115347945
ENSMUSG00000005533	Igf1r	CD221	ENSMUST00000005671	chr7:67952827-68233668	chr7:67952827-67952827	1	protein_coding	49.399596809536334
ENSMUSG00000005087	Cd44	CD44	ENSMUST00000005218	chr2:102811141-102901625	chr2:102901625-102901625	-1	protein_coding	44.53152832205201
ENSMUSG00000005947	Itgae	CD103	ENSMUST00000006101	chr11:73090583-73147446	chr11:73090583-73090583	1	protein_coding	51.39141742522757
ENSMUSG00000005320	Fgfr4	CD334	ENSMUST00000005452	chr13:55152640-55168759	chr13:55152640-55152640	1	protein_coding	58.78459687123947
ENSMUSG00000005763	Cd247	CD247	ENSMUST00000005907	chr1:165788689-165862066	chr1:165788689-165788689	1	protein_coding	52.63480392156863
ENSMUSG00000004609	Cd33	CD33	ENSMUST00000004728	chr7:43527995-43533101	chr7:43533101-43533101	-1	protein_coding	49.184505606523956
ENSMUSG00000003882	Il7r	CD127	ENSMUST00000003981	chr15:9505788-9529835	chr15:9529835-9529835	-1	protein_coding	40.50847457627118
ENSMUSG00000020330	Hmmr	CD168	ENSMUST00000020579	chr11:40701395-40733422	chr11:40733422-40733422	-1	protein_coding	41.77800616649537
ENSMUSG00000020279	Il9r	CD129	ENSMUST00000020518	chr11:32188997-32200279	chr11:32200279-32200279	-1	protein_coding	55.68263045032166
ENSMUSG00000089669	Tnfsf13	CD256	ENSMUST00000018896	chr11:69682846-69685554	chr11:69685554-69685554	-1	protein_coding	51.59914712153518
ENSMUSG00000015396	Cd83	CD83	ENSMUST00000015540	chr13:43784775-43803132	chr13:43784775-43784775	1	protein_coding	51.79652805813484
ENSMUSG00000016496	Cd274	CD274	ENSMUST00000016640	chr19:29367455-29388095	chr19:29367455-29367455	1	protein_coding	44.91993373826615
ENSMUSG00000020009	Ifngr1	CD119	ENSMUST00000020188	chr10:19591949-19610229	chr10:19591949-19591949	1	protein_coding	48.4375
ENSMUSG00000020758	Itgb4	CD104	ENSMUST00000021107	chr11:115974709-116008412	chr11:115974709-115974709	1	protein_coding	59.14532756900566
ENSMUSG00000019818	Cd164	CD164	ENSMUST00000019962	chr10:41519414-41531048	chr10:41519414-41519414	1	protein_coding	41.649555099247095
ENSMUSG00000020695	Mrc2	CD280	ENSMUST00000021038	chr11:105292668-105343871	chr11:105292668-105292668	1	protein_coding	58.20089955022488
ENSMUSG00000017652	Cd40	CD40	ENSMUST00000017799	chr2:165055627-165072948	chr2:165055627-165055627	1	protein_coding	48.79437374413932
ENSMUSG00000018774	Cd68	CD68	ENSMUST00000018918	chr11:69664213-69666153	chr11:69666153-69666153	-1	protein_coding	52.926829268292686
ENSMUSG00000030577	Cd22	CD22	ENSMUST00000019248	chr7:30865402-30879028	chr7:30879028-30879028	-1	protein_coding	52.08857574232512
ENSMUSG00000015316	Slamf1	CD150	ENSMUST00000015460	chr1:171767127-171801184	chr1:171767127-171767127	1	protein_coding	44.93130337913108
ENSMUSG00000020592	Sdc1	CD138	ENSMUST00000020911	chr12:8771323-8793715	chr12:8771323-8771323	1	protein_coding	55.178967374089325
ENSMUSG00000020689	Itgb3	CD61	ENSMUST00000021028	chr11:104608000-104670476	chr11:104608000-104608000	1	protein_coding	52.074688796680505
ENSMUSG00000016494	Cd34	CD34	ENSMUST00000016638	chr1:194938819-194961279	chr1:194938819-194938819	1	protein_coding	49.266503667481665
ENSMUSG00000019989	Enpp3	CD203c	ENSMUST00000020169	chr10:24772406-24836225	chr10:24836225-24836225	-1	protein_coding	42.981424876557725
ENSMUSG00000010142	Tnfrsf13b	CD267	ENSMUST00000010286	chr11:61126755-61149372	chr11:61126755-61126755	1	protein_coding	50.46948356807511
ENSMUSG00000015355	Cd48	CD48	ENSMUST00000015499	chr1:171682009-171705258	chr1:171682009-171682009	1	protein_coding	40.563991323210416
ENSMUSG00000016534	Lamp2	CD107b	ENSMUST00000016678	chrX:38405062-38456454	chrX:38456454-38456454	-1	protein_coding	42.509892594686264
ENSMUSG00000000555	Itga5	CD49e	ENSMUST00000023128	chr15:103344286-103366763	chr15:103366763-103366763	-1	protein_coding	57.50798722044729
ENSMUSG00000023830	Igf2r	CD222	ENSMUST00000024599	chr17:12682406-12769664	chr17:12769664-12769664	-1	protein_coding	51.19837965567683
ENSMUSG00000026674	Ddr2	CD167b	ENSMUST00000027985	chr1:169977804-170110501	chr1:170110501-170110501	-1	protein_coding	51.63934426229508
ENSMUSG00000026581	Sell	CD62L	ENSMUST00000027871	chr1:164062085-164080672	chr1:164062085-164062085	1	protein_coding	45.52069122328331
ENSMUSG00000024620	Pdgfrb	CD140b	ENSMUST00000025522	chr18:61045150-61085061	chr18:61045150-61045150	1	protein_coding	55.07675235805437
ENSMUSG00000026712	Mrc1	CD206	ENSMUST00000028045	chr2:14229392-14332057	chr2:14229392-14229392	1	protein_coding	43.41272794938593
ENSMUSG00000026073	Il1r2	CD121b	ENSMUST00000027243	chr1:40084698-40125231	chr1:40084698-40084698	1	protein_coding	49.04862579281184
ENSMUSG00000026012	Cd28	CD28	ENSMUST00000027165	chr1:60746358-60773359	chr1:60746358-60746358	1	protein_coding	41.17782378651944
ENSMUSG00000026700	Tnfsf4	CD252	ENSMUST00000028024	chr1:161395409-161418410	chr1:161395409-161395409	1	protein_coding	42.77958740499457
ENSMUSG00000026656	Fcgr2b	CD32b	ENSMUST00000027966	chr1:170958617-170976127	chr1:170976127-170976127	-1	protein_coding	45.42889390519188
ENSMUSG00000023926	Rhag	CD241	ENSMUST00000024721	chr17:40811126-40840754	chr17:40811126-40811126	1	protein_coding	42.240273621205645
ENSMUSG00000026321	Tnfrsf11a	CD265	ENSMUST00000027559	chr1:105780718-105847981	chr1:105780718-105780718	1	protein_coding	47.86154764272926
ENSMUSG00000026011	Ctla4	CD152	ENSMUST00000027164	chr1:60909025-60915832	chr1:60909025-60909025	1	protein_coding	42.57630625969995
ENSMUSG00000026582	Sele	CD62E	ENSMUST00000027874	chr1:164048234-164057677	chr1:164048234-164048234	1	protein_coding	47.49313186813187
ENSMUSG00000024304	Cdh2	CD325	ENSMUST00000025166	chr18:16588877-16809246	chr18:16809246-16809246	-1	protein_coding	49.514763576295685
ENSMUSG00000025804	Ccr1	CD191	ENSMUST00000026911	chr9:123962124-123968692	chr9:123968692-123968692	-1	protein_coding	39.11048358630428
ENSMUSG00000025491	Ifitm1	CD225	ENSMUST00000026564	chr7:140968040-140969825	chr7:140968040-140968040	1	protein_coding	51.358695652173914
ENSMUSG00000026068	Il18rap	CD218b	ENSMUST00000027237	chr1:40515362-40551705	chr1:40515362-40515362	1	protein_coding	45.08079361832686
ENSMUSG00000022015	Tnfsf11	CD254	ENSMUST00000022592	chr14:78277445-78308043	chr14:78308043-78308043	-1	protein_coding	44.90161001788909
ENSMUSG00000023274	Cd4	CD4	ENSMUST00000024044	chr6:124864692-124888221	chr6:124888221-124888221	-1	protein_coding	52.02702702702703
ENSMUSG00000026285	Pdcd1	CD279	ENSMUST00000027507	chr1:94038305-94052553	chr1:94052553-94052553	-1	protein_coding	54.61139896373057
ENSMUSG00000022636	Alcam	CD166	ENSMUST00000023312	chr16:52248996-52454074	chr16:52454074-52454074	-1	protein_coding	43.95294897282969
ENSMUSG00000024621	Csf1r	CD115	ENSMUST00000025523	chr18:61105572-61131134	chr18:61105572-61105572	1	protein_coding	53.850129198966414
ENSMUSG00000021624	Cd180	CD180	ENSMUST00000022124	chr13:102693558-102706955	chr13:102693558-102693558	1	protein_coding	46.0377358490566
ENSMUSG00000021451	Sema4d	CD100	ENSMUST00000021900	chr13:51701246-51793747	chr13:51793747-51793747	-1	protein_coding	53.36903168228469
ENSMUSG00000024670	Cd6	CD6	ENSMUST00000025572	chr19:10789346-10798744	chr19:10798744-10798744	-1	protein_coding	56.09756097560976
ENSMUSG00000025810	Nrp1	CD304	ENSMUST00000026917	chr8:128359284-128503363	chr8:128359284-128359284	1	protein_coding	50.01390047261607
ENSMUSG00000022661	Cd200	CD200	ENSMUST00000023341	chr16:45382183-45408875	chr16:45408875-45408875	-1	protein_coding	43.69304556354916
ENSMUSG00000022797	Tfrc	CD71	ENSMUST00000023486	chr16:32608920-32632794	chr16:32608920-32608920	1	protein_coding	39.79550102249489
ENSMUSG00000025473	Adam8	CD156a	ENSMUST00000026546	chr7:139978932-139992548	chr7:139992548-139992548	-1	protein_coding	54.83870967741935
ENSMUSG00000024669	Cd5	CD5	ENSMUST00000025571	chr19:10718143-10738974	chr19:10738974-10738974	-1	protein_coding	55.96906718221363
ENSMUSG00000025163	Cd7	CD7	ENSMUST00000026159	chr11:121036747-121039418	chr11:121039418-121039418	-1	protein_coding	53.86965376782077
ENSMUSG00000022496	Tnfrsf17	CD269	ENSMUST00000023140	chr16:11313812-11320074	chr16:11313812-11313812	1	protein_coding	51.16564417177914
ENSMUSG00000026009	Icos	CD278	ENSMUST00000027162	chr1:60977927-60995797	chr1:60977927-60977927	1	protein_coding	41.7283950617284
ENSMUSG00000025044	Msr1	CD204	ENSMUST00000026021	chr8:39581685-39642620	chr8:39642620-39642620	-1	protein_coding	45.575842696629216
ENSMUSG00000026770	Il2ra	CD25	ENSMUST00000028111	chr2:11642807-11693193	chr2:11642807-11642807	1	protein_coding	44.378966455122395
ENSMUSG00000024778	Fas	CD95	ENSMUST00000025691	chr19:34290659-34327770	chr19:34290659-34290659	1	protein_coding	43.6742934051144
ENSMUSG00000022074	Tnfrsf10b	CD262	ENSMUST00000022663	chr14:69767472-69784411	chr14:69767472-69767472	1	protein_coding	48.9147530670022
ENSMUSG00000023905	Tnfrsf12a	CD266	ENSMUST00000024698	chr17:23675445-23677468	chr17:23677468-23677468	-1	protein_coding	57.92682926829268
ENSMUSG00000022969	Il10rb	CDw210b	ENSMUST00000023691	chr16:91406235-91425834	chr16:91406235-91406235	1	protein_coding	49.13513513513513
ENSMUSG00000025351	Cd63	CD63	ENSMUST00000026407	chr10:128909699-128912815	chr10:128909699-128909699	1	protein_coding	55.22107243650047
ENSMUSG00000026072	Il1r1	CD121a	ENSMUST00000027241	chr1:40225080-40317257	chr1:40225080-40225080	1	protein_coding	43.92507303660423
ENSMUSG00000022657	Cd96	CD96	ENSMUST00000023336	chr16:46035657-46120251	chr16:46120251-46120251	-1	protein_coding	45.28388278388278
ENSMUSG00000038034	Igsf8	CD316	ENSMUST00000039506	chr1:172312367-172319841	chr1:172312367-172312367	1	protein_coding	61.98419666374012
ENSMUSG00000028128	F3	CD142	ENSMUST00000029771	chr3:121723537-121735048	chr3:121723537-121723537	1	protein_coding	46.31410256410257
ENSMUSG00000028362	Tnfsf8	CD153	ENSMUST00000030047	chr4:63831308-63861347	chr4:63861347-63861347	-1	protein_coding	42.605726293669555
ENSMUSG00000030167	Klrc1	CD159a	ENSMUST00000032270	chr6:129666015-129678973	chr6:129678973-129678973	-1	protein_coding	36.44153225806452
ENSMUSG00000028965	Tnfrsf9	CD137	ENSMUST00000030808	chr4:150920190-150946102	chr4:150920190-150920190	1	protein_coding	47.641734159123395
ENSMUSG00000030798	Cd37	CD37	ENSMUST00000033063	chr7:45233641-45239115	chr7:45239115-45239115	-1	protein_coding	56.94006309148265
ENSMUSG00000030724	Cd19	CD19	ENSMUST00000032968	chr7:126408451-126414872	chr7:126414872-126414872	-1	protein_coding	53.90625
ENSMUSG00000027111	Itga6	CD49f	ENSMUST00000028522	chr2:71786978-71856758	chr2:71786978-71786978	1	protein_coding	48.88631090487239
ENSMUSG00000030165	Klrd1	CD94	ENSMUST00000032268	chr6:129591782-129598469	chr6:129591782-129591782	1	protein_coding	39.76109215017065
ENSMUSG00000030156	Cd69	CD69	ENSMUST00000032259	chr6:129267325-129275436	chr6:129275436-129275436	-1	protein_coding	41.49377593360996
ENSMUSG00000026616	Cr2	CD21	ENSMUST00000043104	chr1:195165745-195171168	chr1:195171168-195171168	-1	protein_coding	42.337164750957854
ENSMUSG00000027215	Cd82	CD82	ENSMUST00000028644	chr2:93419111-93462502	chr2:93462502-93462502	-1	protein_coding	55.31798245614035
ENSMUSG00000042784	Muc1	CD227	ENSMUST00000041142	chr3:89229057-89233381	chr3:89229057-89229057	1	protein_coding	54.19268510258698
ENSMUSG00000028024	Enpep	CD249	ENSMUST00000029658	chr3:129269175-129332720	chr3:129332720-129332720	-1	protein_coding	45.4675914852906
ENSMUSG00000030217	Art4	CD297	ENSMUST00000032341	chr6:136848451-136857733	chr6:136857733-136857733	-1	protein_coding	49.9404052443385
ENSMUSG00000027995	Tlr2	CD282	ENSMUST00000029623	chr3:83836272-83841767	chr3:83841767-83841767	-1	protein_coding	49.3364299933643
ENSMUSG00000029075	Tnfrsf4	CD134	ENSMUST00000030952	chr4:156013843-156016612	chr4:156013843-156013843	1	protein_coding	55.04854368932038
ENSMUSG00000032089	Il10ra	CDw210a	ENSMUST00000034594	chr9:45253837-45269149	chr9:45269149-45269149	-1	protein_coding	53.03030303030303
ENSMUSG00000028599	Tnfrsf1b	CD120b	ENSMUST00000030336	chr4:145213463-145246870	chr4:145246870-145246870	-1	protein_coding	53.666841278156106
ENSMUSG00000035448	Ccr3	CD193	ENSMUST00000039171	chr9:124021972-124031689	chr9:124021972-124021972	1	protein_coding	39.05867970660147
ENSMUSG00000040592	Cd79b	CD79b	ENSMUST00000044228	chr11:106311341-106314762	chr11:106314762-106314762	-1	protein_coding	54.15793151642209
ENSMUSG00000031132	Cd40lg	CD154	ENSMUST00000033466	chrX:57212143-57224042	chrX:57212143-57212143	1	protein_coding	44.72
ENSMUSG00000032420	Nt5e	CD73	ENSMUST00000034992	chr9:88327197-88372092	chr9:88327197-88327197	1	protein_coding	47.959949937421776
ENSMUSG00000030124	Lag3	CD223	ENSMUST00000032217	chr6:124904361-124911705	chr6:124911705-124911705	-1	protein_coding	59.920039980009996
ENSMUSG00000030342	Cd9	CD9	ENSMUST00000032492	chr6:125460266-125494791	chr6:125494791-125494791	-1	protein_coding	45.928338762214985
ENSMUSG00000031447	Lamp1	CD107a	ENSMUST00000033824	chr8:13159161-13175338	chr8:13159161-13159161	1	protein_coding	51.592642440556304
ENSMUSG00000028602	Tnfrsf8	CD30	ENSMUST00000030339	chr4:145267137-145315147	chr4:145315147-145315147	-1	protein_coding	54.100761570005865
ENSMUSG00000034028	Cd226	CD226	ENSMUST00000037142	chr18:89197431-89270201	chr18:89197431-89197431	1	protein_coding	39.45693678404752
ENSMUSG00000028825	Rhd	CD240D	ENSMUST00000030627	chr4:134864536-134896172	chr4:134864536-134864536	1	protein_coding	54.09511228533685
ENSMUSG00000028859	Csf3r	CD114	ENSMUST00000030673	chr4:126027292-126044439	chr4:126027292-126027292	1	protein_coding	53.95569620253164
ENSMUSG00000027863	Cd2	CD2	ENSMUST00000029456	chr3:101275899-101287939	chr3:101287939-101287939	-1	protein_coding	50.910667823070256
ENSMUSG00000032135	Mcam	CD146	ENSMUST00000034650	chr9:44134562-44142727	chr9:44134562-44134562	1	protein_coding	53.73034459685514
ENSMUSG00000030996	Art1	CD296	ENSMUST00000033300	chr7:102101743-102111156	chr7:102101743-102101743	1	protein_coding	56.771929824561404
ENSMUSG00000030341	Tnfrsf1a	CD120a	ENSMUST00000032491	chr6:125349723-125362484	chr6:125349723-125349723	1	protein_coding	55.93692022263451
ENSMUSG00000031289	Il13ra2	CD213a2	ENSMUST00000033646	chrX:147383476-147429192	chrX:147429192-147429192	-1	protein_coding	37.395879000438406
ENSMUSG00000038264	Sema7a	CD108	ENSMUST00000043059	chr9:57940113-57962865	chr9:57940113-57940113	1	protein_coding	57.68880800727935
ENSMUSG00000029866	Kel	CD238	ENSMUST00000031899	chr6:41686330-41704339	chr6:41704339-41704339	-1	protein_coding	50.790513833992094
ENSMUSG00000027611	Procr	CD201	ENSMUST00000029140	chr2:155751117-155755471	chr2:155751117-155751117	1	protein_coding	51.90983093299938
ENSMUSG00000029086	Prom1	CD133	ENSMUST00000030973	chr5:44001443-44094713	chr5:44094713-44094713	-1	protein_coding	46.920708237105465
ENSMUSG00000028459	Cd72	CD72	ENSMUST00000030179	chr4:43447724-43454628	chr4:43454628-43454628	-1	protein_coding	52.55813953488372
ENSMUSG00000030789	Itgax	CD11c	ENSMUST00000033053	chr7:128129547-128150657	chr7:128129547-128129547	1	protein_coding	51.60652496292635
ENSMUSG00000031304	Il2rg	CD132	ENSMUST00000033664	chrX:101264378-101268255	chrX:101268255-101268255	-1	protein_coding	48.982035928143716
ENSMUSG00000032094	Cd3d	CD3d	ENSMUST00000034602	chr9:44981786-44987339	chr9:44981786-44981786	1	protein_coding	50.03092145949288
ENSMUSG00000031497	Tnfsf13b	CD257	ENSMUST00000033892	chr8:10006654-10035618	chr8:10006654-10006654	1	protein_coding	52.86521388216303
ENSMUSG00000008845	Cd163	CD163	ENSMUST00000032234	chr6:124304656-124330527	chr6:124304656-124304656	1	protein_coding	48.251589464123526
ENSMUSG00000060703	Cd302	CD302	ENSMUST00000028356	chr2:60251993-60284418	chr2:60284418-60284418	-1	protein_coding	45.02784407319014
ENSMUSG00000040747	Cd53	CD53	ENSMUST00000038845	chr3:106759921-106790149	chr3:106790149-106790149	-1	protein_coding	39.9540757749713
ENSMUSG00000027820	Mme	CD10	ENSMUST00000029400	chr3:63296095-63381623	chr3:63296095-63296095	1	protein_coding	41.69751454257007
ENSMUSG00000030149	Klrk1	CD314	ENSMUST00000032252	chr6:129612414-129622772	chr6:129622772-129622772	-1	protein_coding	42.362204724409445
ENSMUSG00000057722	Lepr	CD295	ENSMUST00000037552	chr4:101717404-101815352	chr4:101717404-101717404	1	protein_coding	46.23212987642355
ENSMUSG00000017057	Il13ra1	CD213a1	ENSMUST00000033418	chrX:36112110-36171259	chrX:36112110-36112110	1	protein_coding	41.16379310344828
ENSMUSG00000032584	Mst1r	CD136	ENSMUST00000035203	chr9:107906873-107920383	chr9:107906873-107906873	1	protein_coding	56.56501482422702
ENSMUSG00000026980	Ly75	CD205	ENSMUST00000028362	chr2:60293760-60383231	chr2:60383231-60383231	-1	protein_coding	47.93116782675948
ENSMUSG00000027276	Jag1	CD339	ENSMUST00000028735	chr2:137081456-137116644	chr2:137116644-137116644	-1	protein_coding	48.77049180327869
ENSMUSG00000031871	Cdh5	CD144	ENSMUST00000034339	chr8:104101625-104144511	chr8:104101625-104101625	1	protein_coding	52.19023779724657
ENSMUSG00000027087	Itgav	CD51	ENSMUST00000028499	chr2:83724397-83806916	chr2:83724397-83724397	1	protein_coding	43.54975900198469
ENSMUSG00000038147	Cd84	CD84	ENSMUST00000042302	chr1:171840633-171886430	chr1:171840633-171840633	1	protein_coding	43.76840039254171
ENSMUSG00000030054	Gp9	CD42a	ENSMUST00000032133	chr6:87778072-87779768	chr6:87778072-87778072	1	protein_coding	58.342792281498305
ENSMUSG00000032412	Atp1b3	CD298	ENSMUST00000034983	chr9:96332655-96364442	chr9:96364442-96364442	-1	protein_coding	47.7432296890672
ENSMUSG00000070369	Itgad	CD11d	ENSMUST00000033051	chr7:128173946-128205504	chr7:128173946-128173946	1	protein_coding	53.36696090794452
ENSMUSG00000031639	Tlr3	CD283	ENSMUST00000034056	chr8:45395665-45410619	chr8:45410619-45410619	-1	protein_coding	40.02722940776038
ENSMUSG00000029802	Abcg2	CD338	ENSMUST00000031822	chr6:58596671-58695676	chr6:58596671-58596671	1	protein_coding	39.216372223193986
ENSMUSG00000034783	Cd207	CD207	ENSMUST00000037882	chr6:83671215-83677857	chr6:83677857-83677857	-1	protein_coding	47.63469119579501
ENSMUSG00000038235	F11r	CD321	ENSMUST00000043839	chr1:171437535-171464603	chr1:171437535-171437535	1	protein_coding	50.07942811755362
ENSMUSG00000040511	Pvr	CD155	ENSMUST00000043517	chr7:19903578-19921160	chr7:19921160-19921160	-1	protein_coding	48.60585197934596
ENSMUSG00000029084	Cd38	CD38	ENSMUST00000030964	chr5:43868553-43912375	chr5:43868553-43868553	1	protein_coding	40.8868501529052
ENSMUSG00000035498	Cdcp1	CD318	ENSMUST00000039229	chr9:123170824-123216038	chr9:123216038-123216038	-1	protein_coding	50.263653483992464
ENSMUSG00000035914	Cd276	CD276	ENSMUST00000039788	chr9:58524300-58540941	chr9:58540941-58540941	-1	protein_coding	54.205900816070304
ENSMUSG00000027962	Vcam1	CD106	ENSMUST00000029574	chr3:116109949-116129688	chr3:116129688-116129688	-1	protein_coding	44.1049293744595
ENSMUSG00000052430	Bmpr1b	CDw293	ENSMUST00000029948	chr3:141837136-141982264	chr3:141982264-141982264	-1	protein_coding	42.15741260048607
ENSMUSG00000037706	Cd81	CD81	ENSMUST00000037941	chr7:143052739-143067934	chr7:143052739-143052739	1	protein_coding	52.31572080887149
ENSMUSG00000046718	Bst2	CD317	ENSMUST00000051672	chr8:71534255-71537456	chr8:71537456-71537456	-1	protein_coding	55.3030303030303
ENSMUSG00000051439	Cd14	CD14	ENSMUST00000061829	chr18:36725074-36726736	chr18:36726736-36726736	-1	protein_coding	53.24427480916031
ENSMUSG00000045382	Cxcr4	CD184	ENSMUST00000052172	chr1:128588199-128592290	chr1:128592290-128592290	-1	protein_coding	46.094182825484765
ENSMUSG00000049791	Fzd4	CD344	ENSMUST00000058755	chr7:89404355-89413134	chr7:89404355-89404355	1	protein_coding	47.023809523809526
ENSMUSG00000021756	Il6st	CD130	ENSMUST00000070731	chr13:112475008-112506860	chr13:112475008-112475008	1	protein_coding	48.415594392164394
ENSMUSG00000054252	Fgfr3	CD333	ENSMUST00000067150	chr5:33721724-33737067	chr5:33721724-33721724	1	protein_coding	56.28259838786155
ENSMUSG00000039005	Tlr4	CD284	ENSMUST00000048096	chr4:66827584-66842800	chr4:66827584-66827584	1	protein_coding	39.39170959038509
ENSMUSG00000021796	Bmpr1a	CD292	ENSMUST00000049005	chr14:34410734-34502687	chr14:34502687-34502687	-1	protein_coding	41.319677635997316
ENSMUSG00000042284	Itga1	CD49a	ENSMUST00000061673	chr13:114953096-115101964	chr13:115101964-115101964	-1	protein_coding	42.810248928604
ENSMUSG00000052212	Cd177	CD177	ENSMUST00000063956	chr7:24743983-24760311	chr7:24760311-24760311	-1	protein_coding	55.19528371407516
ENSMUSG00000056481	Cd248	CD248	ENSMUST00000070630	chr19:5068078-5070637	chr19:5068078-5068078	1	protein_coding	61.3671875
ENSMUSG00000050761	Gp1bb	CD42c	ENSMUST00000051160	chr16:18620319-18622403	chr16:18622403-18622403	-1	protein_coding	61.96642685851319
ENSMUSG00000034652	Cd300a	CD300a	ENSMUST00000045151	chr11:114890041-114904654	chr11:114890041-114890041	1	protein_coding	48.78048780487805
ENSMUSG00000053044	Cd8b1	CD8b	ENSMUST00000065248	chr6:71322788-71337494	chr6:71322788-71322788	1	protein_coding	50.77545515846258
ENSMUSG00000031391	L1cam	CD171	ENSMUST00000066576	chrX:73854672-73869804	chrX:73869804-73869804	-1	protein_coding	54.130223517978614
ENSMUSG00000051498	Tlr6	CD286	ENSMUST00000062315	chr5:64952031-64960047	chr5:64960047-64960047	-1	protein_coding	45.55344030459614
ENSMUSG00000047898	Ccr4	CD194	ENSMUST00000054414	chr9:114490316-114496562	chr9:114496562-114496562	-1	protein_coding	46.666666666666664
ENSMUSG00000039304	Tnfsf10	CD253	ENSMUST00000046383	chr3:27317028-27339665	chr3:27317028-27317028	1	protein_coding	42.839975966352895
ENSMUSG00000035000	Dpp4	CD26	ENSMUST00000047812	chr2:62330073-62412231	chr2:62412231-62412231	-1	protein_coding	42.160212604403945
ENSMUSG00000050675	Gp1ba	CD42b	ENSMUST00000055184	chr11:70639122-70642036	chr11:70639122-70639122	1	protein_coding	51.62361623616236
ENSMUSG00000049307	Fut4	CD15	ENSMUST00000061498	chr9:14748320-14752393	chr9:14752393-14752393	-1	protein_coding	52.822778595974476
ENSMUSG00000050232	Cxcr3	CD183	ENSMUST00000056614	chrX:101731535-101734269	chrX:101734269-101734269	-1	protein_coding	54.24610051993067
ENSMUSG00000054693	Adam10	CD156C	ENSMUST00000067880	chr9:70678997-70780229	chr9:70678997-70678997	1	protein_coding	42.1075549749619
